,partition,vertex
0,94,29740
1,113,29749
2,172,29751
3,96,29757
4,178,29759
5,66,29764
6,38,29765
7,70,29766
8,45,29769
9,32,29771
10,1,29772
11,185,29773
12,88,29776
13,2,29784
14,31,29787
15,85,29792
16,12,29795
17,151,29797
18,117,29813
19,98,29815
20,122,29823
21,78,29831
22,68,29839
23,124,29840
24,27,29841
25,57,29842
26,114,29844
27,145,29845
28,18,29846
29,13,29848
30,124,29849
31,90,29853
32,55,49465
33,49,49471
34,143,49476
35,148,49477
36,52,49480
37,59,49481
38,22,49483
39,29,49484
40,64,49487
41,29,49488
42,188,49491
43,75,49493
44,125,49495
45,113,49498
46,27,49499
47,12,49503
48,66,49512
49,192,49514
50,79,49518
51,64,49522
52,26,49525
53,160,49528
54,99,49529
55,26,49531
56,21,49532
57,33,49533
58,71,49538
59,76,49541
60,11,49545
61,147,49548
62,37,49550
63,140,49561
64,67,17646
65,143,17901
66,78,17987
67,160,18047
68,90,18170
69,136,18535
70,18,19267
71,56,19958
72,53,20250
73,133,20518
74,26,20824
75,6,20868
76,97,21075
77,96,21273
78,168,22531
79,112,23986
80,25,24202
81,26,24504
82,92,25167
83,92,26741
84,29,32745
85,38,32788
86,185,32967
87,50,33678
88,75,33744
89,118,34875
90,43,36103
91,34,37667
92,94,41368
93,98,92
94,23,117
95,62,133
96,17,28080
97,65,28098
98,41,28115
99,168,28134
100,56,28137
101,54,28141
102,78,28143
103,164,28191
104,101,28193
105,57,28197
106,31,28218
107,95,28226
108,25,28230
109,81,28232
110,97,28235
111,83,28237
112,35,28240
113,164,28253
114,185,28254
115,74,28262
116,13,28278
117,206,28284
118,94,28294
119,97,28305
120,180,28347
121,143,28356
122,124,28358
123,44,28375
124,78,28387
125,60,28388
126,115,28411
127,167,28418
128,97,47232
129,30,47239
130,73,47243
131,130,47244
132,172,47245
133,67,47249
134,124,47253
135,72,47254
136,160,47260
137,133,47261
138,216,47263
139,168,47264
140,32,47266
141,97,47268
142,117,47270
143,28,47271
144,99,47275
145,15,47276
146,91,47277
147,206,47292
148,148,47295
149,98,47298
150,192,47299
151,11,47303
152,14,47307
153,160,47311
154,54,47312
155,19,47314
156,15,47315
157,48,47316
158,109,47318
159,2,47321
160,115,13808
161,79,13843
162,41,13846
163,148,13905
164,40,13913
165,42,14016
166,180,14050
167,101,14067
168,94,14072
169,30,14263
170,13,14265
171,216,14271
172,208,14292
173,98,14342
174,103,14346
175,164,14385
176,29,14396
177,202,14517
178,176,14522
179,133,14546
180,132,14561
181,116,14568
182,14,14583
183,158,14624
184,97,14708
185,74,14729
186,92,14839
187,116,14871
188,29,14877
189,202,14905
190,85,14911
191,193,14917
192,109,43218
193,97,43228
194,146,43229
195,216,43232
196,94,43236
197,12,43246
198,29,43253
199,74,43255
200,114,43257
201,36,43262
202,99,43266
203,182,43268
204,102,43272
205,110,43275
206,38,43279
207,147,43284
208,88,43285
209,115,43289
210,172,43290
211,8,43297
212,101,43307
213,190,43308
214,149,43318
215,12,43319
216,130,43324
217,93,43325
218,72,43326
219,99,43328
220,93,43332
221,64,43333
222,133,43346
223,168,43348
224,97,18702
225,47,18736
226,56,18745
227,64,18757
228,5,18758
229,71,18809
230,131,18812
231,24,18815
232,101,18822
233,28,18846
234,145,18856
235,138,18865
236,114,18879
237,101,18881
238,139,18894
239,136,18931
240,174,18975
241,96,19009
242,37,19013
243,76,19021
244,61,19051
245,101,19087
246,15,19092
247,17,19104
248,78,19121
249,94,19131
250,168,19142
251,29,19177
252,30,19225
253,153,19240
254,64,19243
255,216,19244
256,81,8537
257,118,8539
258,149,8541
259,16,8543
260,10,8544
261,49,8557
262,16,8562
263,108,8563
264,133,8567
265,16,8574
266,147,8579
267,72,8583
268,103,8587
269,31,8590
270,20,8597
271,2,8602
272,38,8612
273,72,8615
274,182,8617
275,13,8618
276,147,8628
277,32,8640
278,5,8657
279,35,8670
280,10,8672
281,145,8675
282,75,8676
283,27,8681
284,26,8682
285,10,8684
286,24,8693
287,98,8697
288,67,52875
289,193,52879
290,29,52881
291,29,52886
292,20,52888
293,93,52890
294,176,52892
295,56,52894
296,176,52895
297,107,52896
298,38,52898
299,160,52905
300,130,52907
301,10,52908
302,66,52912
303,20,52914
304,61,52918
305,47,52920
306,116,52921
307,193,52922
308,193,52923
309,125,52929
310,56,52935
311,81,52942
312,185,52944
313,136,52951
314,8,52956
315,64,52961
316,26,52969
317,117,52972
318,153,52975
319,74,52979
320,88,14175
321,174,14183
322,20,14194
323,174,14199
324,95,14200
325,94,14201
326,58,14209
327,25,14210
328,23,14219
329,115,14230
330,208,14240
331,68,14269
332,47,14276
333,188,14280
334,35,14282
335,142,14291
336,62,14294
337,107,14307
338,216,14309
339,114,14311
340,105,14313
341,78,14319
342,182,14324
343,88,14337
344,47,14343
345,90,14347
346,103,14371
347,203,14375
348,29,14376
349,65,14380
350,112,14382
351,71,14399
352,147,8999
353,47,9028
354,40,9032
355,129,9072
356,174,9074
357,13,9096
358,93,9113
359,188,9114
360,16,9128
361,107,9139
362,61,9160
363,208,9164
364,147,9166
365,130,9170
366,31,9187
367,167,9192
368,2,9213
369,142,9221
370,50,9225
371,16,9226
372,85,9232
373,25,9238
374,147,9248
375,101,9254
376,54,9271
377,26,9272
378,45,9276
379,102,9278
