,partition,vertex
0,94,29740
1,113,29749
2,172,29751
3,96,29757
4,178,29759
5,66,29764
6,38,29765
7,70,29766
8,45,29769
9,32,29771
10,1,29772
11,185,29773
12,88,29776
13,2,29784
14,31,29787
15,85,29792
16,12,29795
17,151,29797
18,117,29813
19,98,29815
20,122,29823
21,78,29831
22,68,29839
23,124,29840
24,27,29841
25,57,29842
26,114,29844
27,145,29845
28,18,29846
29,13,29848
30,124,29849
31,90,29853
32,115,13808
33,79,13843
34,41,13846
35,148,13905
36,40,13913
37,42,14016
38,180,14050
39,101,14067
40,94,14072
41,30,14263
42,13,14265
43,216,14271
44,208,14292
45,98,14342
46,103,14346
47,164,14385
48,29,14396
49,202,14517
50,176,14522
51,133,14546
52,132,14561
53,116,14568
54,14,14583
55,158,14624
56,97,14708
57,74,14729
58,92,14839
59,116,14871
60,29,14877
61,202,14905
62,85,14911
63,193,14917
64,55,49465
65,49,49471
66,143,49476
67,148,49477
68,52,49480
69,59,49481
70,22,49483
71,29,49484
72,64,49487
73,29,49488
74,188,49491
75,75,49493
76,125,49495
77,113,49498
78,27,49499
79,12,49503
80,66,49512
81,192,49514
82,79,49518
83,64,49522
84,26,49525
85,160,49528
86,99,49529
87,26,49531
88,21,49532
89,33,49533
90,71,49538
91,76,49541
92,11,49545
93,147,49548
94,37,49550
95,140,49561
96,17,28080
97,65,28098
98,41,28115
99,168,28134
100,56,28137
101,54,28141
102,78,28143
103,164,28191
104,101,28193
105,57,28197
106,31,28218
107,95,28226
108,25,28230
109,81,28232
110,97,28235
111,83,28237
112,35,28240
113,164,28253
114,185,28254
115,74,28262
116,13,28278
117,206,28284
118,94,28294
119,97,28305
120,180,28347
121,143,28356
122,124,28358
123,44,28375
124,78,28387
125,60,28388
126,115,28411
127,167,28418
128,147,571
129,97,614
130,66,640
131,72,645
132,95,681
133,85,727
134,190,783
135,78,819
136,8,910
137,98,913
138,86,1922
139,23,1969
140,1,2194
141,178,2232
142,114,2467
143,85,2807
144,192,2821
145,77,3435
146,216,3456
147,167,3490
148,1,3502
149,56,3512
150,24,3566
151,20,4281
152,13,4309
153,49,4468
154,88,4555
155,57,4958
156,101,4973
157,66,4986
158,101,5006
159,97,5010
160,17,31798
161,95,31805
162,216,31814
163,79,31828
164,139,31838
165,83,31845
166,66,31848
167,26,31878
168,190,31886
169,130,31901
170,64,31912
171,130,31932
172,147,31938
173,70,31940
174,101,31946
175,15,31997
176,185,32004
177,35,32008
178,2,32012
179,56,32036
180,102,32052
181,50,32057
182,148,32058
183,208,32069
184,133,32101
185,35,32111
186,110,32113
187,56,32133
188,114,32147
189,22,32148
190,67,32163
191,168,32166
192,109,43218
193,97,43228
194,146,43229
195,216,43232
196,94,43236
197,12,43246
198,29,43253
199,74,43255
200,114,43257
201,36,43262
202,99,43266
203,182,43268
204,102,43272
205,110,43275
206,38,43279
207,147,43284
208,88,43285
209,115,43289
210,172,43290
211,8,43297
212,101,43307
213,190,43308
214,149,43318
215,12,43319
216,130,43324
217,93,43325
218,72,43326
219,99,43328
220,93,43332
221,64,43333
222,133,43346
223,168,43348
224,96,20442
225,133,20449
226,21,20451
227,54,20453
228,23,20458
229,86,20460
230,147,20471
231,85,20484
232,130,20495
233,16,20498
234,64,20524
235,182,20546
236,33,20548
237,125,20551
238,50,20559
239,2,20568
240,96,20583
241,91,20589
242,29,20592
243,108,20594
244,114,20597
245,5,20602
246,146,20604
247,188,20611
248,12,20624
249,94,20640
250,203,20641
251,43,20643
252,139,20662
253,182,20681
254,66,20689
255,4,20695
256,108,41767
257,118,41768
258,133,41777
259,66,41785
260,11,41802
261,112,41818
262,62,41833
263,118,41834
264,6,41848
265,190,41868
266,114,41870
267,99,41886
268,95,41899
269,33,41901
270,158,41915
271,122,41921
272,178,41922
273,206,41923
274,153,41933
275,93,41940
276,66,41957
277,2,41959
278,109,41989
279,35,41992
280,16,41996
281,148,42002
282,57,42007
283,118,42027
284,64,42030
285,33,42031
286,167,42040
287,5,42046
288,52,27444
289,142,27452
290,112,27454
291,162,27457
292,94,27460
293,79,27462
294,4,27476
295,124,27495
296,53,27500
297,130,27507
298,63,27513
299,65,27515
300,72,27539
301,206,27543
302,8,27547
303,54,27558
304,110,27560
305,52,27567
306,32,27568
307,7,27569
308,26,27570
309,22,27571
310,185,27576
311,172,27577
312,55,27582
313,40,27584
314,47,27587
315,122,27592
316,114,27595
317,174,27596
318,210,27598
319,50,27616
320,72,46962
321,60,46963
322,203,46965
323,54,46967
324,115,46968
325,168,46970
326,185,46974
327,190,46975
328,47,46982
329,133,46985
330,94,46987
331,10,46994
332,65,46998
333,190,47000
334,25,47001
335,123,47002
336,124,47006
337,164,47007
338,18,47008
339,122,47011
340,37,47013
341,147,47014
342,31,47015
343,37,47016
344,174,47018
345,74,47019
346,26,47021
347,38,47029
348,85,47031
349,183,47032
350,15,47035
351,114,47040
352,15,28550
353,185,28559
354,129,28560
355,29,28569
356,60,28578
357,87,28580
358,66,28598
359,203,28604
360,38,28620
361,5,28634
362,72,28641
363,172,28663
364,66,28676
365,2,28680
366,83,28696
367,91,28701
368,74,28728
369,26,28730
370,164,28736
371,67,28739
372,216,28740
373,82,28768
374,73,28781
375,202,28784
376,52,28792
377,94,28796
378,30,28797
379,147,28801
380,83,28848
