,pagerank,vertex
0,8.961307685e-06,29740
1,7.073015695e-06,29749
2,4.400482339e-06,29751
3,1.111560323e-05,29757
4,4.796099347e-06,29759
5,5.41235886e-06,29764
6,7.414417269e-06,29765
7,8.737868484e-06,29766
8,1.034450997e-05,29769
9,1.111291931e-05,29771
10,6.048035175e-06,29772
11,7.315628409e-06,29773
12,9.364529433e-06,29776
13,1.139171036e-05,29784
14,1.900807183e-05,29787
15,1.438218169e-05,29792
16,1.059229271e-05,29795
17,6.959497114e-06,29797
18,6.93866923e-06,29813
19,1.07308224e-05,29815
20,1.442151915e-05,29823
21,6.717224096e-06,29831
22,9.885529835e-06,29839
23,4.323926532e-06,29840
24,4.640844509e-06,29841
25,2.354200296e-05,29842
26,1.449750926e-05,29844
27,8.616235391e-06,29845
28,1.000921293e-05,29846
29,8.032655387e-06,29848
30,1.432552835e-05,29849
31,8.19122306e-06,29853
32,6.096054676e-06,49465
33,6.795126865e-06,49471
34,1.178020648e-05,49476
35,7.104660199e-06,49477
36,8.664694178e-06,49480
37,5.395525022e-06,49481
38,7.041833669e-06,49483
39,1.313441498e-05,49484
40,1.395825711e-05,49487
41,1.164921559e-05,49488
42,9.180928828e-06,49491
43,1.238370623e-05,49493
44,6.88453656e-06,49495
45,6.195458354e-06,49498
46,1.097419317e-05,49499
47,1.020929176e-05,49503
48,1.147413332e-05,49512
49,7.907462532e-06,49514
50,7.918821211e-06,49518
51,6.419236797e-06,49522
52,7.720925169e-06,49525
53,1.326415531e-05,49528
54,5.592596608e-06,49529
55,6.111627044e-06,49531
56,5.627509381e-06,49532
57,1.132789203e-05,49533
58,5.832848274e-06,49538
59,4.622198958e-06,49541
60,7.736845873e-06,49545
61,4.628132501e-06,49548
62,7.36007496e-06,49550
63,7.511013791e-06,49561
64,5.689137197e-06,13808
65,4.326600447e-06,13843
66,8.122173313e-06,13846
67,5.988586963e-06,13905
68,8.027401236e-06,13913
69,7.417062989e-06,14016
70,7.546013876e-06,14050
71,6.217538157e-06,14067
72,5.951501862e-06,14072
73,8.064555914e-06,14263
74,9.478978427e-06,14265
75,4.825211363e-06,14271
76,6.996737739e-06,14292
77,4.215331046e-06,14342
78,7.368344995e-06,14346
79,7.564081443e-06,14385
80,5.101179795e-06,14396
81,4.687202818e-06,14517
