,pagerank,vertex
0,2.621162639e-05,4698
1,2.584926006e-05,4700
2,2.451613545e-05,4701
3,2.132948794e-05,4724
4,2.33981591e-05,4749
5,2.227355071e-05,4753
6,1.433407033e-05,4768
7,2.985192077e-05,4770
8,2.227673576e-05,4778
9,2.392420538e-05,4792
10,2.778917769e-05,4803
11,3.644792741e-05,4824
12,4.285288378e-05,4849
13,1.670698657e-05,4856
14,1.856896415e-05,4869
15,2.291478268e-05,4874
16,1.774242264e-05,4898
17,1.441126824e-05,4913
18,1.905671525e-05,4914
19,3.264248153e-05,4927
20,5.193483594e-05,5055
21,2.440414573e-05,5069
22,3.006920269e-05,5119
23,2.784824937e-05,5169
24,1.681874892e-05,5192
25,3.615570677e-05,5203
26,3.174642188e-05,5209
27,2.565842624e-05,5211
28,2.538491754e-05,5216
29,2.207591024e-05,5242
30,2.670430331e-05,5243
31,2.284124821e-05,5256
32,1.422958576e-05,28550
33,7.337307579e-06,28559
34,1.294148751e-05,28560
35,9.234852769e-06,28569
36,3.479973884e-06,28578
37,1.288327257e-05,28580
38,1.529242036e-05,28598
39,1.043095654e-05,28604
40,9.584440704e-06,28620
41,1.505194541e-05,28634
42,3.135737416e-06,28641
43,8.109874216e-06,28663
44,1.313795929e-05,28676
45,4.454079317e-06,28680
46,1.08625436e-05,28696
47,6.581697107e-06,28701
48,4.055872978e-06,28728
49,1.207796504e-05,28730
50,6.60722344e-06,28736
51,1.04725932e-05,28739
52,7.716701475e-06,28740
53,6.537121408e-06,28768
54,3.156705588e-06,28781
55,1.543090548e-05,28784
56,7.736585758e-06,28792
57,1.238920868e-05,28796
58,1.405712192e-05,28797
59,1.302286e-05,28801
60,1.565619277e-05,28848
61,1.012317625e-05,28874
62,9.173546459e-06,28906
63,1.12649077e-05,28923
64,7.717407243e-06,29740
65,8.838099347e-06,29749
66,6.651376225e-06,29751
67,8.584459465e-06,29757
68,4.89040076e-06,29759
69,8.473324669e-06,29764
70,1.10639221e-05,29765
71,1.169932602e-05,29766
72,9.615214367e-06,29769
73,1.871130371e-05,29771
74,7.91205639e-06,29772
75,9.723157746e-06,29773
76,1.008610525e-05,29776
77,1.479463754e-05,29784
78,1.247958971e-05,29787
79,1.768682705e-05,29792
80,1.502755822e-05,29795
81,8.718986464e-06,29797
82,1.067529138e-05,29813
83,1.401335248e-05,29815
84,1.574155067e-05,29823
85,1.037267248e-05,29831
86,1.400679957e-05,29839
87,5.679409242e-06,29840
88,3.367517593e-06,29841
89,1.932058876e-05,29842
90,2.246409531e-05,29844
91,9.449259778e-06,29845
92,1.380191406e-05,29846
93,1.011363747e-05,29848
94,1.717182749e-05,29849
95,9.574324395e-06,29853
96,6.434956049e-06,31798
97,1.073566e-05,31805
98,9.040883015e-06,31814
99,2.169725303e-05,31828
100,6.019819011e-06,31838
101,5.895898539e-06,31845
102,4.997804808e-06,31848
103,4.461284334e-06,31878
104,1.25161032e-05,31886
105,1.363874435e-05,31901
106,8.259899005e-06,31912
107,9.639068594e-06,31932
