,betweenness_centrality,vertex
0,0.000239448,17646
1,0.000335181,17901
2,0.000235465,17987
3,0.000463632,18047
4,0.000426095,18170
5,0.000605429,18535
6,0.00051781,19267
7,0.000198021,19958
8,0.000347387,20250
9,0.000162935,20518
10,0.000171173,20824
11,0.000312342,20868
12,0.000288305,21075
13,0.000206523,21273
14,0.000196433,22531
15,0.000210446,23986
16,0.000293407,24202
17,0.000349081,24504
18,0.000271081,25167
19,0.000266007,26741
20,0.000256349,32745
21,0.000300633,32788
22,0.000314665,32967
23,0.000338876,33678
24,0.000264738,33744
25,0.000255886,34875
26,0.000234967,36103
27,0.000287474,37667
28,0.001019134,41368
29,0.00010147,92
30,9.50331673e-05,117
31,9.085120122e-05,133
32,1.52143336e-05,29740
33,4.003512276e-06,29749
34,0.0,29751
35,6.48024287e-06,29757
36,0.0,29759
37,2.690225798e-06,29764
38,3.944581519e-06,29765
39,1.355377609e-05,29766
40,3.384141801e-05,29769
41,1.956050506e-05,29771
42,5.265479311e-07,29772
43,5.245559816e-06,29773
44,6.278571731e-06,29776
45,2.980727604e-05,29784
46,4.674858914e-05,29787
47,3.333417526e-05,29792
48,8.39137437e-06,29795
49,2.036411132e-06,29797
50,5.582215591e-07,29813
51,1.005559223e-05,29815
52,3.431274245e-05,29823
53,6.583508202e-07,29831
54,6.292683719e-06,29839
55,0.0,29840
56,0.0,29841
57,8.397647783e-05,29842
58,3.15798931e-05,29844
59,2.205197678e-06,29845
60,1.396937525e-05,29846
61,4.535656822e-06,29848
62,2.465922738e-05,29849
63,4.833652856e-06,29853
64,5.536015867e-05,41767
65,2.895038017e-05,41768
66,8.046953286e-05,41777
67,0.000532451,41785
68,0.000118334,41802
69,8.065473373e-05,41818
70,8.516318009e-05,41833
71,0.000135901,41834
72,6.659460143e-05,41848
73,0.000165599,41868
74,2.447908399e-05,41870
75,3.496345808e-05,41886
76,8.848501686e-05,41899
77,4.682394353e-05,41901
78,1.375262249e-05,41915
79,1.237819179e-05,41921
80,0.000404299,41922
81,0.000128845,41923
82,1.978314357e-05,41933
83,6.719083696e-05,41940
84,5.686101339e-05,41957
85,1.906859724e-05,41959
86,4.606978055e-05,41989
87,4.638719095e-05,41992
88,8.800965346e-05,41996
89,7.236492137e-05,42002
90,3.144402431e-05,42007
91,0.000143649,42027
92,5.454610829e-05,42030
93,1.867787268e-05,42031
94,0.000110821,42040
95,7.195497885e-05,42046
96,0.000632348,4257
97,0.000359719,4342
98,0.000774322,4472
99,0.000665833,4502
100,0.000466264,4509
101,0.000548564,4519
102,0.000490479,4582
103,0.000821625,4646
104,0.000467446,4672
105,0.000547421,4756
106,0.000512676,4795
107,0.000463101,4806
108,0.000444793,4808
109,0.000597749,4809
110,0.000599651,4830
111,0.00060294,4835
112,0.000372548,4881
113,0.000527606,4888
114,0.000304326,5231
115,0.000362085,5239
116,0.000683918,5255
117,0.00043476,5297
118,0.000742148,5391
119,0.000476545,5438
120,0.000725039,5858
121,0.000563005,5914
122,0.000962794,6168
123,0.000525295,6471
124,0.001096066,6490
125,0.000663393,6615
126,0.000908953,6669
127,0.000518706,7564
128,4.133690721e-05,44268
129,0.000148746,44271
130,7.15318771e-05,44289
131,1.227990372e-05,44295
132,5.035994761e-05,44300
133,0.000103163,44328
134,0.000103323,44332
135,0.000142628,44337
136,5.244443146e-05,44338
137,4.568946974e-05,44369
138,1.571665505e-05,44372
139,8.49596303e-05,44375
140,6.301659601e-05,44390
141,6.491575468e-05,44391
