,betweenness_centrality,vertex
0,1.52143336e-05,29740
1,4.003512276e-06,29749
2,0.0,29751
3,6.48024287e-06,29757
4,0.0,29759
5,2.690225798e-06,29764
6,3.944581519e-06,29765
7,1.355377609e-05,29766
8,3.384141801e-05,29769
9,1.956050506e-05,29771
10,5.265479311e-07,29772
11,5.245559816e-06,29773
12,6.278571731e-06,29776
13,2.980727604e-05,29784
14,4.674858914e-05,29787
15,3.333417526e-05,29792
16,8.39137437e-06,29795
17,2.036411132e-06,29797
18,5.582215591e-07,29813
19,1.005559223e-05,29815
20,3.431274245e-05,29823
21,6.583508202e-07,29831
22,6.292683719e-06,29839
23,0.0,29840
24,0.0,29841
25,8.397647783e-05,29842
26,3.15798931e-05,29844
27,2.205197678e-06,29845
28,1.396937525e-05,29846
29,4.535656822e-06,29848
30,2.465922738e-05,29849
31,4.833652856e-06,29853
32,0.0,47232
33,0.0,47239
34,1.027116626e-06,47243
35,0.0,47244
36,0.0,47245
37,0.0,47249
38,0.0,47253
39,0.0,47254
40,0.0,47260
41,0.0,47261
42,0.0,47263
43,0.0,47264
44,0.0,47266
45,3.66056819e-06,47268
46,0.0,47270
47,0.0,47271
48,0.0,47275
49,3.298607494e-06,47276
50,0.0,47277
51,0.0,47292
52,0.0,47295
53,3.59299319e-05,47298
54,5.135646091e-06,47299
55,8.578934016e-07,47303
56,4.105612625e-06,47307
57,0.0,47311
58,1.815029462e-05,47312
59,2.855767794e-05,47314
60,0.0,47315
61,0.0,47316
62,3.371725638e-07,47318
63,1.550722649e-06,47321
64,0.000239448,17646
65,0.000335181,17901
66,0.000235465,17987
67,0.000463632,18047
68,0.000426095,18170
69,0.000605429,18535
70,0.00051781,19267
71,0.000198021,19958
72,0.000347387,20250
73,0.000162935,20518
74,0.000171173,20824
75,0.000312342,20868
76,0.000288305,21075
77,0.000206523,21273
78,0.000196433,22531
79,0.000210446,23986
80,0.000293407,24202
81,0.000349081,24504
82,0.000271081,25167
83,0.000266007,26741
84,0.000256349,32745
85,0.000300633,32788
86,0.000314665,32967
87,0.000338876,33678
88,0.000264738,33744
89,0.000255886,34875
90,0.000234967,36103
91,0.000287474,37667
92,0.001019134,41368
93,0.00010147,92
94,9.50331673e-05,117
95,9.085120122e-05,133
96,1.217379771e-06,49465
97,7.903240853e-07,49471
98,1.759503558e-05,49476
99,1.15133828e-05,49477
100,1.723913294e-06,49480
101,0.0,49481
102,1.557270102e-06,49483
103,1.733535723e-05,49484
104,2.659513544e-05,49487
105,3.142317236e-05,49488
106,2.779567121e-05,49491
107,4.667279575e-05,49493
108,1.162524529e-06,49495
109,2.085115003e-06,49498
110,8.024170008e-06,49499
111,5.173748974e-06,49503
112,8.794227314e-06,49512
113,6.053723988e-07,49514
114,6.01702163e-06,49518
115,7.741471607e-07,49522
116,1.39352424e-05,49525
117,1.191286043e-05,49528
118,0.0,49529
119,5.270471379e-07,49531
120,0.0,49532
121,2.514327873e-05,49533
122,0.0,49538
123,0.0,49541
124,2.617336715e-06,49545
125,0.0,49548
126,5.895990525e-07,49550
127,2.55992546e-06,49561
128,5.536015867e-05,41767
129,2.895038017e-05,41768
130,8.046953286e-05,41777
131,0.000532451,41785
132,0.000118334,41802
133,8.065473373e-05,41818
134,8.516318009e-05,41833
135,0.000135901,41834
136,6.659460143e-05,41848
137,0.000165599,41868
138,2.447908399e-05,41870
139,3.496345808e-05,41886
140,8.848501686e-05,41899
141,4.682394353e-05,41901
142,1.375262249e-05,41915
143,1.237819179e-05,41921
144,0.000404299,41922
145,0.000128845,41923
146,1.978314357e-05,41933
147,6.719083696e-05,41940
148,5.686101339e-05,41957
149,1.906859724e-05,41959
150,4.606978055e-05,41989
151,4.638719095e-05,41992
152,8.800965346e-05,41996
153,7.236492137e-05,42002
154,3.144402431e-05,42007
155,0.000143649,42027
156,5.454610829e-05,42030
157,1.867787268e-05,42031
158,0.000110821,42040
159,7.195497885e-05,42046
160,0.0,13808
161,0.0,13843
162,1.604602472e-05,13846
163,1.023777515e-06,13905
164,2.804573247e-06,13913
165,3.843556882e-06,14016
166,2.545521489e-05,14050
167,8.772675206e-07,14067
168,1.046741644e-06,14072
169,6.271981962e-06,14263
170,1.050852515e-05,14265
171,0.0,14271
172,4.857277685e-06,14292
173,0.0,14342
174,2.579185964e-06,14346
175,3.28523851e-06,14385
176,0.0,14396
177,0.0,14517
178,6.584126196e-06,14522
179,3.419863349e-06,14546
180,0.0,14561
181,3.611498716e-05,14568
182,3.451597467e-05,14583
183,8.240457697e-06,14624
184,7.834030081e-06,14708
185,3.515717132e-06,14729
186,5.689870319e-06,14839
187,3.575830084e-05,14871
188,0.0,14877
189,1.550611161e-05,14905
190,1.292278025e-06,14911
191,6.083442064e-06,14917
192,3.842138353e-07,571
193,1.564609354e-05,614
194,1.691957891e-06,640
195,1.701417112e-06,645
196,8.736229195e-07,681
197,2.33129665e-05,727
198,2.839395332e-06,783
199,1.720536976e-06,819
200,4.51775068e-06,910
201,7.132817936e-06,913
202,5.118410342e-07,1922
203,3.020130147e-06,1969
204,1.200541388e-05,2194
205,2.805628296e-06,2232
206,2.537264318e-06,2467
207,8.516126047e-07,2807
208,9.633149412e-06,2821
209,6.974896757e-06,3435
210,2.693371513e-06,3456
211,1.057484396e-05,3490
212,1.45656313e-05,3502
213,1.058052175e-05,3512
214,1.937003291e-05,3566
215,3.487249033e-05,4281
216,1.446424037e-05,4309
217,1.266262282e-05,4468
218,7.521659401e-05,4555
219,1.171829371e-05,4958
220,2.032526683e-05,4973
221,9.170660755e-06,4986
222,1.848542687e-05,5006
223,7.859085837e-06,5010
224,0.0,31798
225,6.165770544e-07,31805
226,2.564350225e-05,31814
227,2.231370444e-05,31828
228,4.789520309e-06,31838
229,8.352565224e-07,31845
230,2.145432133e-06,31848
231,9.712580414e-07,31878
232,8.200376872e-05,31886
233,3.061380684e-05,31901
234,3.841212411e-06,31912
235,1.628960154e-05,31932
236,2.273836335e-05,31938
237,7.694930177e-07,31940
238,2.896153216e-06,31946
239,0.0,31997
240,0.0,32004
241,1.421903343e-05,32008
242,4.454685415e-06,32012
243,0.0,32036
244,0.0,32052
245,6.734892293e-07,32057
246,8.319495209e-07,32058
247,7.662702386e-06,32069
248,1.146507796e-05,32101
249,6.090496476e-06,32111
250,0.0,32113
251,0.0,32133
252,2.149541605e-05,32147
253,6.296045322e-06,32148
254,1.745181291e-06,32163
255,1.976736268e-06,32166
256,6.832490554e-07,18702
257,3.608699721e-06,18736
258,1.755148263e-05,18745
259,2.666968833e-06,18757
260,6.767963585e-06,18758
261,0.0,18809
262,2.767388958e-06,18812
263,4.437942867e-06,18815
264,1.203610351e-05,18822
265,7.148248403e-07,18846
266,2.915745038e-06,18856
267,0.0,18865
268,2.392433977e-06,18879
269,2.977571772e-05,18881
270,1.58996646e-06,18894
271,1.15390348e-05,18931
272,7.123355234e-07,18975
273,6.274848276e-07,19009
274,1.154910925e-06,19013
275,0.0,19021
276,0.0,19051
277,5.965115046e-06,19087
278,6.367109931e-06,19092
279,0.0,19104
280,8.906692137e-06,19121
281,9.643516148e-05,19131
282,0.0,19142
283,0.0,19177
