,partition,vertex
0,100,49465
1,9,49471
2,0,49476
3,27,49477
4,19,49480
5,26,49481
6,66,49483
7,157,49484
8,37,49487
9,9,49488
10,71,49491
11,33,49493
12,34,49495
13,10,49498
14,135,49499
15,148,49503
16,14,49512
17,209,49514
18,55,49518
19,113,49522
20,32,49525
21,24,49528
22,7,49529
23,32,49531
24,101,49532
25,206,49533
26,69,49538
27,82,49541
28,210,49545
29,194,49548
30,77,49550
31,14,49561
32,105,47232
33,74,47239
34,199,47243
35,224,47244
36,165,47245
37,48,47249
38,203,47253
39,149,47254
40,81,47260
41,150,47261
42,185,47263
43,222,47264
44,128,47266
45,105,47268
46,107,47270
47,154,47271
48,200,47275
49,206,47276
50,1,47277
51,111,47292
52,142,47295
53,88,47298
54,209,47299
55,210,47303
56,54,47307
57,38,47311
58,84,47312
59,209,47314
60,74,47315
61,228,47316
62,121,47318
63,184,47321
64,103,13808
65,66,13843
66,209,13846
67,142,13905
68,107,13913
69,126,14016
70,172,14050
71,159,14067
72,106,14072
73,41,14263
74,88,14265
75,108,14271
76,220,14292
77,130,14342
78,200,14346
79,81,14385
80,157,14396
81,15,14517
82,51,14522
83,150,14546
84,149,14561
85,178,14568
86,5,14583
87,136,14624
88,105,14708
89,69,14729
90,100,14839
91,200,14871
92,27,14877
93,15,14905
94,91,14911
95,1,14917
96,113,29740
97,10,29749
98,26,29751
99,104,29757
100,153,29759
101,180,29764
102,204,29765
103,58,29766
104,160,29769
105,158,29771
106,114,29772
107,224,29773
108,6,29776
109,18,29784
110,95,29787
111,161,29792
112,68,29795
113,83,29797
114,32,29813
115,88,29815
116,158,29823
117,17,29831
118,133,29839
119,206,29840
120,135,29841
121,33,29842
122,172,29844
123,33,29845
124,19,29846
125,88,29848
126,184,29849
127,94,29853
128,220,38902
129,74,38905
130,130,38926
131,159,38928
132,25,38938
133,224,38944
134,139,38968
135,174,38977
136,210,38984
137,88,39002
138,130,39011
139,171,39013
140,32,39016
141,42,39017
142,131,39042
143,187,39068
144,114,39084
145,206,39106
146,108,39140
147,110,39195
148,220,39241
149,20,39247
150,26,39252
151,199,39265
152,142,39268
153,130,39290
154,33,39310
155,165,39320
156,185,39329
157,96,39346
158,92,39366
159,220,39380
160,159,571
161,194,614
162,102,640
163,90,645
164,102,681
165,102,727
166,35,783
167,17,819
168,2,910
169,32,913
170,130,1922
171,27,1969
172,114,2194
173,160,2232
174,209,2467
175,101,2807
176,209,2821
177,99,3435
178,108,3456
179,30,3490
180,114,3502
181,185,3512
182,6,3566
183,180,4281
184,88,4309
185,9,4468
186,159,4555
187,28,4958
188,2,4973
189,44,4986
190,114,5006
191,105,5010
192,141,28080
193,154,28098
194,85,28115
195,180,28134
196,145,28137
197,64,28141
198,32,28143
199,221,28191
200,115,28193
201,33,28197
202,114,28218
203,102,28226
204,28,28230
205,32,28232
206,194,28235
207,12,28237
208,141,28240
209,56,28253
210,224,28254
211,78,28262
212,88,28278
213,111,28284
214,29,28294
215,105,28305
216,172,28347
217,0,28356
218,184,28358
219,178,28375
220,189,28387
221,99,28388
222,15,28411
223,30,28418
224,102,11118
225,52,11134
226,74,11143
227,17,11156
228,81,11166
229,54,11170
230,194,11193
231,64,11212
232,178,11220
233,172,11230
234,82,11251
235,107,11267
236,196,11294
237,80,11295
238,92,11296
239,59,11298
240,185,11329
241,194,11334
242,60,11350
243,105,11356
244,177,11361
245,160,11376
246,115,11382
247,10,11383
248,67,11402
249,206,11419
250,221,11432
251,220,11441
252,30,11448
253,126,11480
254,165,11489
