,partition,vertex
0,100,49465
1,9,49471
2,0,49476
3,27,49477
4,19,49480
5,26,49481
6,66,49483
7,157,49484
8,37,49487
9,9,49488
10,71,49491
11,33,49493
12,34,49495
13,10,49498
14,135,49499
15,148,49503
16,14,49512
17,209,49514
18,55,49518
19,113,49522
20,32,49525
21,24,49528
22,7,49529
23,32,49531
24,101,49532
25,206,49533
26,69,49538
27,82,49541
28,210,49545
29,194,49548
30,77,49550
31,14,49561
32,105,47232
33,74,47239
34,199,47243
35,224,47244
36,165,47245
37,48,47249
38,203,47253
39,149,47254
40,81,47260
41,150,47261
42,185,47263
43,222,47264
44,128,47266
45,105,47268
46,107,47270
47,154,47271
48,200,47275
49,206,47276
50,1,47277
51,111,47292
52,142,47295
53,88,47298
54,209,47299
55,210,47303
56,54,47307
57,38,47311
58,84,47312
59,209,47314
60,74,47315
61,228,47316
62,121,47318
63,184,47321
64,159,571
65,194,614
66,102,640
67,90,645
68,102,681
69,102,727
70,35,783
71,17,819
72,2,910
73,32,913
74,130,1922
75,27,1969
76,114,2194
77,160,2232
78,209,2467
79,101,2807
80,209,2821
81,99,3435
82,108,3456
83,30,3490
84,114,3502
85,185,3512
86,6,3566
87,180,4281
88,88,4309
89,9,4468
90,159,4555
91,28,4958
92,2,4973
93,44,4986
94,114,5006
95,105,5010
96,105,18702
97,220,18736
98,185,18745
99,113,18757
100,32,18758
101,165,18809
102,207,18812
103,154,18815
104,77,18822
105,206,18846
106,123,18856
107,66,18865
108,177,18879
109,77,18881
110,224,18894
111,54,18931
112,187,18975
113,68,19009
114,77,19013
115,82,19021
116,35,19051
117,72,19087
118,102,19092
119,210,19104
120,7,19121
121,128,19131
122,67,19142
123,9,19177
124,74,19225
125,96,19240
126,113,19243
127,60,19244
128,103,13808
129,66,13843
130,209,13846
131,142,13905
132,107,13913
133,126,14016
134,172,14050
135,159,14067
136,106,14072
137,41,14263
138,88,14265
139,108,14271
140,220,14292
141,130,14342
142,200,14346
143,81,14385
144,157,14396
145,15,14517
146,51,14522
147,150,14546
148,149,14561
149,178,14568
150,5,14583
151,136,14624
152,105,14708
153,69,14729
154,100,14839
155,200,14871
156,27,14877
157,15,14905
158,91,14911
159,1,14917
160,113,29740
161,10,29749
162,26,29751
163,104,29757
164,153,29759
165,180,29764
166,204,29765
167,58,29766
168,160,29769
169,158,29771
170,114,29772
171,224,29773
172,6,29776
173,18,29784
174,95,29787
175,161,29792
176,68,29795
177,83,29797
178,32,29813
179,88,29815
180,158,29823
181,17,29831
182,133,29839
183,206,29840
184,135,29841
185,33,29842
186,172,29844
187,33,29845
188,19,29846
189,88,29848
190,184,29849
191,94,29853
192,103,27444
193,125,27452
194,126,27454
195,174,27457
196,128,27460
197,66,27462
198,62,27476
199,220,27495
200,130,27500
201,224,27507
202,72,27513
203,192,27515
204,8,27539
205,5,27543
206,118,27547
207,84,27558
208,118,27560
209,19,27567
210,131,27568
211,157,27569
212,80,27570
213,66,27571
214,224,27576
215,92,27577
216,58,27582
217,111,27584
218,24,27587
219,10,27592
220,113,27595
221,158,27596
222,225,27598
223,199,27616
224,209,58118
225,2,58119
226,108,58120
227,94,58121
228,85,58122
229,14,58124
230,146,58127
231,88,58139
232,125,58143
233,149,58145
234,94,58151
235,145,58160
236,92,58161
237,194,58164
238,67,58169
239,118,58175
240,135,58180
241,189,58194
242,187,58206
243,204,58210
244,222,58214
245,49,58219
246,96,58222
247,30,58233
248,146,58236
249,13,58240
250,89,58241
251,3,58245
252,194,58247
253,113,58250
254,158,58253
