,partition,vertex
0,1981,18537
1,1177,18539
2,5371,18545
3,5372,18546
4,5373,18547
5,10253,18549
6,5374,18550
7,12260,18553
8,11581,18554
9,5375,18556
10,5376,18558
11,13501,18560
12,11702,18563
13,5377,18564
14,15923,18566
15,1502,18570
16,1501,18577
17,13908,18578
18,15778,18579
19,9700,18582
20,5378,18590
21,11645,18592
22,10251,18593
23,5379,18594
24,15542,18597
25,13503,18599
26,9898,18600
27,5380,18603
28,5381,18605
29,1179,18607
30,1176,18616
31,5382,18617
32,10428,27920
33,6210,27921
34,6600,27922
35,10429,27926
36,3260,27931
37,1278,27933
38,2091,27934
39,10430,27936
40,5137,27938
41,6601,27941
42,3396,27943
43,6603,27947
44,5155,27949
45,6604,27950
46,496,27951
47,4170,27953
48,4150,27956
49,10431,27957
50,10432,27958
51,10433,27961
52,6608,27968
53,5295,27969
54,10434,27971
55,10435,27973
56,10436,27974
57,6607,27976
58,10437,27978
59,3597,27984
60,6611,27989
61,6610,27991
62,10438,27993
63,1217,27996
64,2060,9361
65,3172,9364
66,2064,9365
67,3171,9368
68,296,9369
69,2121,9372
70,2550,9375
71,297,9379
72,2067,9380
73,2722,9387
74,2113,9398
75,2575,9399
76,2232,9405
77,2114,9406
78,2995,9407
79,2089,9412
80,2100,9429
81,2970,9434
82,3856,9435
83,2107,9439
84,2070,9440
85,2112,9441
86,2099,9452
87,2687,9463
88,2081,9464
89,4432,9470
90,3712,9472
91,2105,9473
92,2072,9481
93,2118,9482
94,2091,9483
95,2777,9493
96,13079,25071
97,6202,25073
98,6203,25074
99,16579,25075
100,483,25076
101,1244,25079
102,10141,25080
103,6204,25081
104,6205,25084
105,10168,25085
106,1248,25087
107,16552,25088
108,10143,25091
109,87,25092
110,479,25094
111,522,25096
112,10144,25097
113,6206,25101
114,10184,25102
115,3684,25104
116,108,25109
117,16507,25110
118,6207,25111
119,10163,25112
120,13117,25113
121,16427,25115
122,16537,25116
123,498,25120
124,16244,25122
125,6208,25124
126,488,25128
127,6209,25131
128,186,12900
129,5586,12903
130,2653,12904
131,5568,12910
132,2654,12918
133,199,12922
134,4983,12925
135,9308,12927
136,2655,12930
137,2656,12935
138,7670,12938
139,2657,12939
140,2658,12942
141,2659,12947
142,397,12949
143,5686,12950
144,9000,12951
145,7010,12956
146,2660,12958
147,2661,12959
148,9437,12960
149,5697,12961
150,2662,12963
151,2663,12967
152,2664,12968
153,6917,12970
154,9042,12971
155,2665,12973
156,9213,12977
157,389,12978
158,425,12979
159,9005,12981
160,7080,10735
161,7088,10740
162,2282,10742
163,2283,10743
164,7589,10755
165,2284,10759
166,2285,10760
167,7093,10769
168,2286,10771
169,7090,10772
170,4810,10773
171,2287,10777
172,2288,10779
173,5416,10781
174,2289,10786
175,2290,10793
176,2291,10796
177,2292,10797
178,2293,10798
179,5844,10799
180,7084,10801
181,7605,10806
182,8220,10808
183,7717,10809
184,2294,10811
185,5,10813
186,9473,10814
187,2295,10816
188,2296,10817
189,2297,10820
190,134,10828
191,6693,10829
192,7656,8879
193,6274,8881
194,6915,8882
195,1969,8884
196,9026,8885
197,9015,8886
198,4831,8887
199,4724,8889
200,7653,8890
201,5343,8893
202,6992,8894
203,7843,8895
204,6426,8896
205,6025,8897
206,6895,8898
207,4852,8899
208,4916,8901
209,8562,8903
210,1970,8904
211,8939,8906
212,8563,8908
213,7866,8912
214,1971,8914
215,5398,8915
216,1972,8917
217,1973,8919
218,4844,8922
219,7171,8924
220,1974,8925
221,5400,8928
222,1975,8929
223,1976,8930
224,13133,46460
225,2639,46461
226,12307,46462
227,3419,46466
228,12302,46470
229,3592,46471
230,9308,46473
231,15206,46474
232,9309,46476
233,15201,46477
234,217,46478
235,1763,46483
236,15200,46484
237,2637,46494
238,9310,46496
239,12305,46497
240,4445,46499
241,15196,46502
242,1760,46505
243,9311,46507
244,4501,46508
245,9312,46509
246,9313,46510
247,9314,46512
248,14385,46513
249,2951,46521
250,9315,46525
251,9316,46530
252,9317,46534
253,9318,46540
254,14356,46542
255,9319,46546
256,10037,24113
257,5568,24115
258,10038,24116
259,6063,24117
260,6072,24118
261,6050,24119
262,3430,24120
263,6042,24122
264,10039,24128
265,4123,24130
266,6076,24132
267,5131,24134
268,10040,24136
269,10041,24142
270,10042,24144
271,1509,24145
272,1726,24147
273,6074,24148
274,10043,24153
275,10044,24156
276,4084,24159
277,6075,24160
278,10045,24163
279,10046,24164
280,140,24170
281,5133,24171
282,4126,24172
283,10047,24176
284,1968,24180
285,6083,24182
286,6084,24184
287,1508,24185
288,11709,19543
