,partition,vertex
401,1295,18396
402,9927,18401
403,11756,18403
404,9910,18405
405,5358,18408
406,14,18409
407,5359,18413
408,2105,18414
409,13547,18415
410,523,18419
411,12189,18424
412,1076,18428
413,16147,18429
414,5360,18432
415,15712,18433
416,14164,52019
417,5570,52020
418,4076,52021
419,14165,52022
420,14166,52023
421,14167,52027
422,9093,52029
423,14168,52030
424,14169,52033
425,14170,52034
426,14171,52035
427,9091,52036
428,14172,52037
429,14173,52039
430,14174,52042
431,259,52044
432,14175,52045
433,14176,52047
434,14177,52048
435,5715,52051
436,2671,52052
437,14178,52053
438,4849,52054
439,14179,52056
440,14180,52060
441,2719,52061
442,14181,52062
443,2736,52064
444,14182,52065
445,14183,52068
446,14184,52069
447,231,52071
448,12233,45659
449,4322,45661
450,4052,45662
451,4015,45664
452,14694,45665
453,2154,45666
454,9179,45667
455,12238,45668
456,9180,45671
457,12228,45672
458,9181,45673
459,14700,45677
460,1384,45678
461,9182,45682
462,13198,45683
463,12237,45689
464,9183,45690
465,9184,45692
466,12232,45693
467,9185,45696
468,9186,45697
469,4027,45698
470,12253,45699
471,14689,45700
472,9187,45703
473,15172,45704
474,14691,45706
475,9188,45707
476,15171,45708
477,9189,45710
478,9190,45712
479,9191,45713
480,7395,33449
481,7396,33450
482,7397,33451
483,3109,33452
484,7398,33455
485,12909,33460
486,12910,33463
487,7399,33464
488,7400,33466
489,1622,33469
490,3113,33472
491,11241,33478
492,2972,33481
493,10992,33482
494,7401,33489
495,7402,33490
496,7403,33491
497,7404,33497
498,16685,33498
499,1594,33500
500,706,33501
501,16615,33504
502,3111,33505
503,11006,33513
504,10993,33514
505,7405,33515
506,16716,33517
507,7406,33518
508,7407,33521
509,16795,33524
510,2945,33526
511,2947,33530
512,12052,44059
513,15729,44063
514,8964,44065
515,1333,44066
516,8965,44067
517,15726,44070
518,13478,44071
519,3897,44074
520,13502,44075
521,8966,44077
522,15727,44080
523,15732,44083
524,15731,44087
525,15082,44089
526,8967,44091
527,3330,44092
528,1332,44093
529,13453,44095
530,4448,44097
531,2256,44099
532,2479,44101
533,15657,44103
534,13495,44104
535,359,44107
536,2040,44108
537,8968,44109
538,15654,44111
539,2148,44116
540,8969,44120
541,8970,44122
542,15615,44123
543,15613,44124
544,13079,25071
545,6202,25073
546,6203,25074
547,16579,25075
548,483,25076
549,1244,25079
550,10141,25080
551,6204,25081
552,6205,25084
553,10168,25085
554,1248,25087
555,16552,25088
556,10143,25091
557,87,25092
558,479,25094
559,522,25096
560,10144,25097
561,6206,25101
562,10184,25102
563,3684,25104
564,108,25109
565,16507,25110
566,6207,25111
567,10163,25112
568,13117,25113
569,16427,25115
570,16537,25116
571,498,25120
572,16244,25122
573,6208,25124
574,488,25128
575,6209,25131
576,10428,27920
577,6210,27921
578,6600,27922
579,10429,27926
580,3260,27931
581,1278,27933
582,2091,27934
583,10430,27936
584,5137,27938
585,6601,27941
586,3396,27943
587,6603,27947
588,5155,27949
589,6604,27950
590,496,27951
591,4170,27953
592,4150,27956
593,10431,27957
594,10432,27958
595,10433,27961
596,6608,27968
597,5295,27969
598,10434,27971
599,10435,27973
600,10436,27974
601,6607,27976
602,10437,27978
603,3597,27984
604,6611,27989
605,6610,27991
606,10438,27993
607,1217,27996
608,10037,24113
609,5568,24115
610,10038,24116
611,6063,24117
612,6072,24118
613,6050,24119
614,3430,24120
615,6042,24122
616,10039,24128
617,4123,24130
618,6076,24132
619,5131,24134
620,10040,24136
