,pagerank,vertex
0,2.012842015e-05,18537
1,2.012842015e-05,18539
2,2.012842015e-05,18545
3,2.012842015e-05,18546
4,2.012842015e-05,18547
5,2.012842015e-05,18549
6,2.012842015e-05,18550
7,2.012842015e-05,18553
8,2.012842015e-05,18554
9,2.012842015e-05,18556
10,2.012842015e-05,18558
11,2.012842015e-05,18560
12,2.012842015e-05,18563
13,2.012842015e-05,18564
14,2.012842015e-05,18566
15,2.012842015e-05,18570
16,2.012842015e-05,18577
17,2.012842015e-05,18578
18,2.012842015e-05,18579
19,2.012842015e-05,18582
20,2.012842015e-05,18590
21,2.012842015e-05,18592
22,2.012842015e-05,18593
23,2.012842015e-05,18594
24,2.012842015e-05,18597
25,2.012842015e-05,18599
26,2.012842015e-05,18600
27,2.012842015e-05,18603
28,2.012842015e-05,18605
29,2.012842015e-05,18607
30,2.012842015e-05,18616
31,2.012842015e-05,18617
32,2.012842015e-05,40562
33,2.012842015e-05,40570
34,2.012842015e-05,40576
35,2.012842015e-05,40577
36,2.012842015e-05,40579
37,2.012842015e-05,40581
38,2.012842015e-05,40582
39,2.012842015e-05,40591
40,2.012842015e-05,40592
41,2.012842015e-05,40598
42,2.012842015e-05,40600
43,2.012842015e-05,40603
44,2.012842015e-05,40605
45,2.012842015e-05,40607
46,2.012842015e-05,40609
47,2.012842015e-05,40611
48,2.012842015e-05,40613
49,2.012842015e-05,40614
50,2.012842015e-05,40616
51,2.012842015e-05,40618
52,2.012842015e-05,40621
53,2.012842015e-05,40628
54,2.012842015e-05,40629
55,2.012842015e-05,40634
56,2.012842015e-05,40635
57,2.012842015e-05,40636
58,2.012842015e-05,40641
59,2.012842015e-05,40642
60,2.012842015e-05,40643
61,2.012842015e-05,40644
62,2.012842015e-05,40646
63,2.012842015e-05,40649
64,2.012842015e-05,13685
65,2.012842015e-05,13686
66,2.012842015e-05,13687
67,2.012842015e-05,13689
68,2.012842015e-05,13690
69,2.012842015e-05,13693
70,2.012842015e-05,13696
71,2.012842015e-05,13698
72,2.012842015e-05,13700
73,2.012842015e-05,13706
74,2.012842015e-05,13709
75,2.012842015e-05,13710
76,2.012842015e-05,13714
77,2.012842015e-05,13716
78,2.012842015e-05,13718
79,2.012842015e-05,13724
80,2.012842015e-05,13727
81,2.012842015e-05,13728
82,2.012842015e-05,13730
83,2.012842015e-05,13731
84,2.012842015e-05,13735
85,2.012842015e-05,13736
86,2.012842015e-05,13739
87,2.012842015e-05,13740
88,2.012842015e-05,13742
89,2.012842015e-05,13744
90,2.012842015e-05,13752
91,2.012842015e-05,13753
92,2.012842015e-05,13757
93,2.012842015e-05,13760
94,2.012842015e-05,13762
95,2.012842015e-05,13763
96,2.012842015e-05,27920
97,2.012842015e-05,27921
98,2.012842015e-05,27922
99,2.012842015e-05,27926
100,2.012842015e-05,27931
101,2.012842015e-05,27933
102,2.012842015e-05,27934
103,2.012842015e-05,27936
104,2.012842015e-05,27938
105,2.012842015e-05,27941
106,2.012842015e-05,27943
107,2.012842015e-05,27947
108,2.012842015e-05,27949
109,2.012842015e-05,27950
110,2.012842015e-05,27951
111,2.012842015e-05,27953
112,2.012842015e-05,27956
113,2.012842015e-05,27957
114,2.012842015e-05,27958
115,2.012842015e-05,27961
116,2.012842015e-05,27968
117,2.012842015e-05,27969
118,2.012842015e-05,27971
119,2.012842015e-05,27973
120,2.012842015e-05,27974
121,2.012842015e-05,27976
122,2.012842015e-05,27978
123,2.012842015e-05,27984
124,2.012842015e-05,27989
125,2.012842015e-05,27991
126,2.012842015e-05,27993
127,2.012842015e-05,27996
128,2.012842015e-05,46460
129,2.012842015e-05,46461
130,2.012842015e-05,46462
131,2.012842015e-05,46466
132,2.012842015e-05,46470
133,2.012842015e-05,46471
134,2.012842015e-05,46473
135,2.012842015e-05,46474
136,2.012842015e-05,46476
137,2.012842015e-05,46477
138,2.012842015e-05,46478
139,2.012842015e-05,46483
140,2.012842015e-05,46484
141,2.012842015e-05,46494
142,2.012842015e-05,46496
143,2.012842015e-05,46497
144,2.012842015e-05,46499
145,2.012842015e-05,46502
146,2.012842015e-05,46505
147,2.012842015e-05,46507
148,2.012842015e-05,46508
149,2.012842015e-05,46509
150,2.012842015e-05,46510
151,2.012842015e-05,46512
152,2.012842015e-05,46513
153,2.012842015e-05,46521
154,2.012842015e-05,46525
155,2.012842015e-05,46530
156,2.012842015e-05,46534
157,2.012842015e-05,46540
158,2.012842015e-05,46542
159,2.012842015e-05,46546
160,2.012842015e-05,21581
161,2.012842015e-05,21582
162,2.012842015e-05,21583
163,2.012842015e-05,21585
164,2.012842015e-05,21591
165,2.012842015e-05,21592
166,2.012842015e-05,21593
167,2.012842015e-05,21594
168,2.012842015e-05,21596
169,2.012842015e-05,21598
170,2.012842015e-05,21605
171,2.012842015e-05,21606
172,2.012842015e-05,21607
173,2.012842015e-05,21609
174,2.012842015e-05,21611
175,2.012842015e-05,21618
176,2.012842015e-05,21619
177,2.012842015e-05,21620
178,2.012842015e-05,21621
179,2.012842015e-05,21626
180,2.012842015e-05,21628
181,2.012842015e-05,21631
182,2.012842015e-05,21634
183,2.012842015e-05,21636
184,2.012842015e-05,21637
185,2.012842015e-05,21638
186,2.012842015e-05,21640
187,2.012842015e-05,21642
188,2.012842015e-05,21644
189,2.012842015e-05,21646
190,2.012842015e-05,21647
191,2.012842015e-05,21649
192,2.012842015e-05,19543
193,2.012842015e-05,19545
194,2.012842015e-05,19547
195,2.012842015e-05,19549
196,2.012842015e-05,19550
197,2.012842015e-05,19552
198,2.012842015e-05,19554
199,2.012842015e-05,19555
200,2.012842015e-05,19559
201,2.012842015e-05,19561
202,2.012842015e-05,19565
203,2.012842015e-05,19566
204,2.012842015e-05,19567
205,2.012842015e-05,19572
206,2.012842015e-05,19575
207,2.012842015e-05,19579
208,2.012842015e-05,19580
209,2.012842015e-05,19581
210,2.012842015e-05,19585
211,2.012842015e-05,19586
212,2.012842015e-05,19588
213,2.012842015e-05,19593
214,2.012842015e-05,19596
215,2.012842015e-05,19606
216,2.012842015e-05,19607
217,2.012842015e-05,19610
218,2.012842015e-05,19613
219,2.012842015e-05,19618
220,2.012842015e-05,19619
221,2.012842015e-05,19625
222,2.012842015e-05,19631
223,2.012842015e-05,19635
224,2.012842015e-05,27053
225,2.012842015e-05,27057
226,2.012842015e-05,27058
227,2.012842015e-05,27059
228,2.012842015e-05,27061
229,2.012842015e-05,27063
230,2.012842015e-05,27064
231,2.012842015e-05,27065
232,2.012842015e-05,27067
233,2.012842015e-05,27068
234,2.012842015e-05,27069
235,2.012842015e-05,27072
236,2.012842015e-05,27075
237,2.012842015e-05,27077
238,2.012842015e-05,27079
239,2.012842015e-05,27081
240,2.012842015e-05,27084
241,2.012842015e-05,27085
242,2.012842015e-05,27091
243,2.012842015e-05,27094
244,2.012842015e-05,27096
245,2.012842015e-05,27098
246,2.012842015e-05,27099
247,2.012842015e-05,27100
248,2.012842015e-05,27101
249,2.012842015e-05,27103
250,2.012842015e-05,27105
251,2.012842015e-05,27107
252,2.012842015e-05,27109
253,2.012842015e-05,27111
254,2.012842015e-05,27113
255,2.012842015e-05,27117
256,2.012842015e-05,42903
257,2.012842015e-05,42909
258,2.012842015e-05,42912
259,2.012842015e-05,42913
260,2.012842015e-05,42918
261,2.012842015e-05,42924
262,2.012842015e-05,42925
263,2.012842015e-05,42932
264,2.012842015e-05,42937
265,2.012842015e-05,42939
266,2.012842015e-05,42944
267,2.012842015e-05,42945
268,2.012842015e-05,42948
269,2.012842015e-05,42950
270,2.012842015e-05,42952
271,2.012842015e-05,42956
272,2.012842015e-05,42957
273,2.012842015e-05,42959
274,2.012842015e-05,42960
275,2.012842015e-05,42961
276,2.012842015e-05,42962
277,2.012842015e-05,42964
278,2.012842015e-05,42967
279,2.012842015e-05,42970
280,2.012842015e-05,42972
281,2.012842015e-05,42976
282,2.012842015e-05,42980
283,2.012842015e-05,42984
284,2.012842015e-05,42995
285,2.012842015e-05,42996
286,2.012842015e-05,42998
287,2.012842015e-05,42999
288,2.012842015e-05,18332
289,2.012842015e-05,18338
290,2.012842015e-05,18339
291,2.012842015e-05,18350
292,2.012842015e-05,18355
293,2.012842015e-05,18359
294,2.012842015e-05,18361
295,2.012842015e-05,18363
296,2.012842015e-05,18366
297,2.012842015e-05,18369
298,2.012842015e-05,18372
299,2.012842015e-05,18378
300,2.012842015e-05,18382
301,2.012842015e-05,18384
302,2.012842015e-05,18386
303,2.012842015e-05,18387
304,2.012842015e-05,18391
305,2.012842015e-05,18396
306,2.012842015e-05,18401
307,2.012842015e-05,18403
308,2.012842015e-05,18405
309,2.012842015e-05,18408
310,2.012842015e-05,18409
311,2.012842015e-05,18413
312,2.012842015e-05,18414
313,2.012842015e-05,18415
314,2.012842015e-05,18419
315,2.012842015e-05,18424
316,2.012842015e-05,18428
317,2.012842015e-05,18429
318,2.012842015e-05,18432
319,2.012842015e-05,18433
320,2.012842015e-05,17825
321,2.012842015e-05,17827
322,2.012842015e-05,17829
323,2.012842015e-05,17831
324,2.012842015e-05,17833
325,2.012842015e-05,17834
326,2.012842015e-05,17837
327,2.012842015e-05,17853
328,2.012842015e-05,17854
329,2.012842015e-05,17855
330,2.012842015e-05,17856
331,2.012842015e-05,17857
332,2.012842015e-05,17858
333,2.012842015e-05,17861
334,2.012842015e-05,17862
335,2.012842015e-05,17866
336,2.012842015e-05,17867
337,2.012842015e-05,17873
338,2.012842015e-05,17877
339,2.012842015e-05,17878
340,2.012842015e-05,17879
341,2.012842015e-05,17880
342,2.012842015e-05,17882
343,2.012842015e-05,17887
344,2.012842015e-05,17888
345,2.012842015e-05,17890
346,2.012842015e-05,17892
347,2.012842015e-05,17893
348,2.012842015e-05,17902
349,2.012842015e-05,17904
350,2.012842015e-05,17913
351,2.012842015e-05,17918
352,2.012842015e-05,11112
353,2.012842015e-05,11114
354,2.012842015e-05,11116
355,2.012842015e-05,11117
356,2.012842015e-05,11119
357,2.012842015e-05,11120
358,2.012842015e-05,11122
359,2.012842015e-05,11123
360,2.012842015e-05,11130
361,2.012842015e-05,11133
362,2.012842015e-05,11135
363,2.012842015e-05,11136
364,2.012842015e-05,11138
365,2.012842015e-05,11141
366,2.012842015e-05,11142
367,2.012842015e-05,11143
368,2.012842015e-05,11146
369,2.012842015e-05,11147
370,2.012842015e-05,11148
371,2.012842015e-05,11151
372,2.012842015e-05,11154
373,2.012842015e-05,11156
374,2.012842015e-05,11159
375,2.012842015e-05,11161
376,2.012842015e-05,11167
377,2.012842015e-05,11169
378,2.012842015e-05,11170
379,2.012842015e-05,11172
380,2.012842015e-05,11173
381,2.012842015e-05,11174
382,2.012842015e-05,11175
383,2.012842015e-05,11178
384,2.012842015e-05,35647
385,2.012842015e-05,35648
386,2.012842015e-05,35650
387,2.012842015e-05,35652
388,2.012842015e-05,35653
389,2.012842015e-05,35659
390,2.012842015e-05,35662
391,2.012842015e-05,35663
392,2.012842015e-05,35672
393,2.012842015e-05,35675
394,2.012842015e-05,35677
395,2.012842015e-05,35678
396,2.012842015e-05,35681
397,2.012842015e-05,35683
398,2.012842015e-05,35685
399,2.012842015e-05,35686
400,2.012842015e-05,35694
401,2.012842015e-05,35697
402,2.012842015e-05,35700
403,2.012842015e-05,35707
404,2.012842015e-05,35708
405,2.012842015e-05,35713
406,2.012842015e-05,35717
407,2.012842015e-05,35718
408,2.012842015e-05,35719
409,2.012842015e-05,35721
410,2.012842015e-05,35723
411,2.012842015e-05,35726
412,2.012842015e-05,35727
413,2.012842015e-05,35729
414,2.012842015e-05,35733
415,2.012842015e-05,35735
416,2.012842015e-05,25071
417,2.012842015e-05,25073
418,2.012842015e-05,25074
419,2.012842015e-05,25075
420,2.012842015e-05,25076
421,2.012842015e-05,25079
422,2.012842015e-05,25080
423,2.012842015e-05,25081
424,2.012842015e-05,25084
425,2.012842015e-05,25085
426,2.012842015e-05,25087
427,2.012842015e-05,25088
428,2.012842015e-05,25091
429,2.012842015e-05,25092
430,2.012842015e-05,25094
431,2.012842015e-05,25096
432,2.012842015e-05,25097
433,2.012842015e-05,25101
434,2.012842015e-05,25102
435,2.012842015e-05,25104
436,2.012842015e-05,25109
437,2.012842015e-05,25110
438,2.012842015e-05,25111
439,2.012842015e-05,25112
440,2.012842015e-05,25113
441,2.012842015e-05,25115
442,2.012842015e-05,25116
443,2.012842015e-05,25120
444,2.012842015e-05,25122
445,2.012842015e-05,25124
446,2.012842015e-05,25128
447,2.012842015e-05,25131
448,2.012842015e-05,43771
449,2.012842015e-05,43773
450,2.012842015e-05,43774
451,2.012842015e-05,43775
452,2.012842015e-05,43776
453,2.012842015e-05,43777
454,2.012842015e-05,43778
455,2.012842015e-05,43779
456,2.012842015e-05,43782
457,2.012842015e-05,43784
458,2.012842015e-05,43787
459,2.012842015e-05,43789
460,2.012842015e-05,43791
461,2.012842015e-05,43797
462,2.012842015e-05,43799
463,2.012842015e-05,43800
464,2.012842015e-05,43803
