,partition,vertex
402,4952,13730
403,4953,13731
404,14832,13735
405,14781,13736
406,11779,13739
407,11915,13740
408,14826,13742
409,10616,13744
410,1830,13752
411,2741,13753
412,4954,13757
413,11893,13760
414,14861,13762
415,4955,13763
416,11709,19543
417,15692,19545
418,5467,19547
419,5468,19549
420,11283,19550
421,10289,19552
422,5469,19554
423,5470,19555
424,15868,19559
425,2116,19561
426,11392,19565
427,10121,19566
428,10112,19567
429,1204,19572
430,15592,19575
431,5471,19579
432,5472,19580
433,5473,19581
434,11976,19585
435,10114,19586
436,1411,19588
437,2287,19593
438,5474,19596
439,15889,19606
440,1209,19607
441,2096,19610
442,10120,19613
443,15606,19618
444,15883,19619
445,14016,19625
446,5475,19631
447,5476,19635
448,8554,4615
449,5388,4616
450,8702,4622
451,8700,4624
452,4581,4625
453,1371,4627
454,1372,4628
455,8703,4630
456,1373,4632
457,5020,4636
458,8697,4639
459,8709,4641
460,5569,4643
461,8718,4645
462,8534,4649
463,8545,4650
464,1374,4652
465,8520,4654
466,4650,4658
467,5795,4659
468,1375,4663
469,5797,4666
470,8541,4667
471,5798,4668
472,4771,4673
473,1376,4676
474,5817,4678
475,5812,4679
476,9467,4680
477,4637,4683
478,5789,4684
479,1377,4686
480,13079,25071
481,6202,25073
482,6203,25074
483,16579,25075
484,483,25076
485,1244,25079
486,10141,25080
487,6204,25081
488,6205,25084
489,10168,25085
490,1248,25087
491,16552,25088
492,10143,25091
493,87,25092
494,479,25094
495,522,25096
496,10144,25097
497,6206,25101
498,10184,25102
499,3684,25104
500,108,25109
501,16507,25110
502,6207,25111
503,10163,25112
504,13117,25113
505,16427,25115
506,16537,25116
507,498,25120
508,16244,25122
509,6208,25124
510,488,25128
511,6209,25131
512,8369,2600
513,5206,2603
514,1083,2604
515,1084,2605
516,5387,2606
517,5203,2607
518,1085,2609
519,1086,2610
520,8374,2611
521,1087,2612
522,8425,2613
523,5176,2614
524,8492,2620
525,1088,2623
526,5502,2627
527,1089,2629
528,8477,2630
529,5508,2631
530,5509,2633
531,1090,2636
532,8490,2637
533,1091,2641
534,1092,2642
535,1093,2644
536,8487,2645
537,8489,2646
538,1094,2647
539,8417,2648
540,8435,2649
541,8029,2654
542,5118,2656
543,1095,2659
544,6474,27053
545,2115,27057
546,14017,27058
547,10331,27059
548,6475,27061
549,294,27063
550,13544,27064
551,4182,27065
552,2035,27067
553,13555,27068
554,1129,27069
555,1127,27072
556,1130,27075
557,6476,27077
558,6477,27079
