,partition,vertex
0,4949,13685
1,1824,13686
2,14869,13687
3,12214,13689
4,1831,13690
5,14843,13693
6,4950,13696
7,10650,13698
8,13853,13700
9,12373,13706
10,4951,13709
11,14847,13710
12,2724,13714
13,10607,13716
14,10660,13718
15,12249,13724
16,14825,13727
17,14840,13728
18,4952,13730
19,4953,13731
20,14832,13735
21,14781,13736
22,11779,13739
23,11915,13740
24,14826,13742
25,10616,13744
26,1830,13752
27,2741,13753
28,4954,13757
29,11893,13760
30,14861,13762
31,4955,13763
32,4513,10967
33,2473,10969
34,2491,10970
35,2330,10972
36,2367,10973
37,3568,10974
38,3801,10977
39,4449,10980
40,3556,10994
41,4019,10999
42,350,11006
43,351,11012
44,352,11017
45,2450,11020
46,3569,11022
47,353,11023
48,2452,11024
49,4293,11027
50,4310,11033
51,354,11034
52,355,11035
53,3788,11039
54,3782,11040
55,356,11048
56,4155,11057
57,4112,11064
58,4100,11070
59,357,11078
60,358,11079
61,359,11080
62,360,11084
63,3680,11085
64,3837,42903
65,1469,42909
66,8795,42912
67,4418,42913
68,11946,42918
69,5000,42924
70,11947,42925
71,8804,42932
72,8805,42937
73,8808,42939
74,8806,42944
75,2481,42945
76,8801,42948
77,4408,42950
78,4405,42952
79,8811,42956
80,1479,42957
81,8798,42959
82,1331,42960
83,5464,42961
84,779,42962
85,8812,42964
86,11948,42967
87,134,42970
88,5458,42972
89,2288,42976
90,8814,42980
91,11949,42984
92,11950,42995
93,3963,42996
94,4447,42998
95,11951,42999
96,7395,33449
97,7396,33450
98,7397,33451
99,3109,33452
100,7398,33455
101,12909,33460
102,12910,33463
103,7399,33464
104,7400,33466
105,1622,33469
106,3113,33472
107,11241,33478
108,2972,33481
109,10992,33482
110,7401,33489
111,7402,33490
112,7403,33491
113,7404,33497
114,16685,33498
115,1594,33500
116,706,33501
117,16615,33504
118,3111,33505
119,11006,33513
120,10993,33514
121,7405,33515
122,16716,33517
123,7406,33518
124,7407,33521
125,16795,33524
126,2945,33526
127,2947,33530
128,10240,18332
129,1304,18338
130,2012,18339
131,2015,18350
132,9731,18355
133,11667,18359
134,5355,18361
135,11935,18363
136,9622,18366
137,10279,18369
138,12968,18372
139,5356,18378
140,10386,18382
141,871,18384
142,15824,18386
143,10264,18387
144,5357,18391
145,1295,18396
146,9927,18401
147,11756,18403
148,9910,18405
149,5358,18408
150,14,18409
151,5359,18413
152,2105,18414
153,13547,18415
154,523,18419
155,12189,18424
156,1076,18428
157,16147,18429
158,5360,18432
159,15712,18433
160,1147,2929
161,1148,2930
162,4006,2932
163,1149,2934
164,4008,2940
165,1146,2941
166,1144,2943
167,3971,2944
168,1155,2946
169,4007,2947
170,3998,2948
171,4001,2949
172,82,2950
173,1197,2951
174,3276,2952
175,1203,2953
176,1286,2954
177,1287,2955
178,1187,2956
179,1188,2957
180,83,2958
181,3974,2961
182,3205,2962
183,3204,2963
184,1189,2964
185,3210,2966
186,1190,2967
187,3956,2970
188,4339,2974
189,3298,2975
190,3967,2983
191,1191,2985
192,1981,18537
193,1177,18539
194,5371,18545
195,5372,18546
196,5373,18547
197,10253,18549
198,5374,18550
199,12260,18553
200,11581,18554
201,5375,18556
202,5376,18558
203,13501,18560
204,11702,18563
205,5377,18564
206,15923,18566
207,1502,18570
208,1501,18577
209,13908,18578
210,15778,18579
211,9700,18582
212,5378,18590
213,11645,18592
214,10251,18593
215,5379,18594
216,15542,18597
217,13503,18599
218,9898,18600
219,5380,18603
220,5381,18605
221,1179,18607
222,1176,18616
223,5382,18617
224,11221,35647
225,7612,35648
226,11222,35650
227,11223,35652
228,11224,35653
229,2618,35659
230,2572,35662
231,1570,35663
232,7717,35672
233,2630,35675
234,11225,35677
235,7721,35678
