,betweenness_centrality,vertex
0,0.0,13685
1,0.0,13686
2,0.0,13687
3,0.0,13689
4,0.0,13690
5,0.0,13693
6,0.0,13696
7,0.0,13698
8,0.0,13700
9,0.0,13706
10,0.0,13709
11,0.0,13710
12,0.0,13714
13,0.0,13716
14,0.0,13718
15,0.0,13724
16,0.0,13727
17,0.0,13728
18,0.0,13730
19,0.0,13731
20,0.0,13735
21,0.0,13736
22,0.0,13739
23,0.0,13740
24,0.0,13742
25,0.0,13744
26,0.0,13752
27,0.0,13753
28,0.0,13757
29,0.0,13760
30,0.0,13762
31,0.0,13763
32,0.0,18537
33,0.0,18539
34,0.0,18545
35,0.0,18546
36,0.0,18547
37,0.0,18549
38,0.0,18550
39,0.0,18553
40,0.0,18554
41,0.0,18556
42,0.0,18558
43,0.0,18560
44,0.0,18563
45,0.0,18564
46,0.0,18566
47,0.0,18570
48,0.0,18577
49,0.0,18578
50,0.0,18579
51,0.0,18582
52,0.0,18590
53,0.0,18592
54,0.0,18593
55,0.0,18594
56,0.0,18597
57,0.0,18599
58,0.0,18600
59,0.0,18603
60,0.0,18605
61,0.0,18607
62,0.0,18616
63,0.0,18617
64,0.0,18332
65,0.0,18338
66,0.0,18339
67,0.0,18350
68,0.0,18355
69,0.0,18359
70,0.0,18361
71,0.0,18363
72,0.0,18366
73,0.0,18369
74,0.0,18372
75,0.0,18378
76,0.0,18382
77,0.0,18384
78,0.0,18386
79,0.0,18387
80,0.0,18391
81,0.0,18396
82,0.0,18401
83,0.0,18403
84,0.0,18405
85,0.0,18408
86,0.0,18409
87,0.0,18413
88,0.0,18414
89,0.0,18415
90,0.0,18419
91,0.0,18424
92,0.0,18428
93,0.0,18429
94,0.0,18432
95,0.0,18433
96,0.0,27670
97,0.0,27671
98,0.0,27673
99,0.0,27674
100,0.0,27678
101,0.0,27682
102,0.0,27684
103,0.0,27686
104,0.0,27691
105,0.0,27693
106,0.0,27696
107,0.0,27697
108,0.0,27698
109,0.0,27700
110,0.0,27701
111,0.0,27711
112,0.0,27712
113,0.0,27713
114,0.0,27716
115,0.0,27718
116,0.0,27720
117,0.0,27722
118,0.0,27725
119,0.0,27727
120,0.0,27729
121,0.0,27733
122,0.0,27734
123,0.0,27747
124,0.0,27750
125,0.0,27751
126,0.0,27752
127,0.0,27753
128,0.0,13522
129,0.0,13524
130,0.0,13525
131,0.0,13528
132,0.0,13529
133,0.0,13530
134,0.0,13533
135,0.0,13536
136,0.0,13539
137,0.0,13540
138,0.0,13549
139,0.0,13550
140,0.0,13551
141,0.0,13552
142,0.0,13557
143,0.0,13558
144,0.0,13561
145,0.0,13563
146,0.0,13565
147,0.0,13566
148,0.0,13567
149,0.0,13569
150,0.0,13570
151,0.0,13571
152,0.0,13575
153,0.0,13576
154,0.0,13577
155,0.0,13578
156,0.0,13579
157,0.0,13580
158,0.0,13582
159,0.0,13585
160,0.0,5294
161,0.0,5297
162,0.0,5299
163,0.0,5304
164,0.0,5310
165,0.0,5312
166,0.0,5314
167,0.0,5324
168,0.0,5329
169,0.0,5334
170,0.0,5343
171,0.0,5344
172,0.0,5347
173,0.0,5350
174,0.0,5363
175,0.0,5364
176,0.0,5365
177,0.0,5371
178,0.0,5373
179,0.0,5376
180,0.0,5377
181,0.0,5378
182,0.0,5380
183,0.0,5382
184,0.0,5389
185,0.0,5391
186,0.0,5395
187,0.0,5403
188,0.0,5404
189,0.0,5407
190,0.0,5410
191,0.0,5411
192,0.0,19543
193,0.0,19545
194,0.0,19547
195,0.0,19549
196,0.0,19550
197,0.0,19552
198,0.0,19554
199,0.0,19555
200,0.0,19559
201,0.0,19561
202,0.0,19565
203,0.0,19566
204,0.0,19567
205,0.0,19572
206,0.0,19575
207,0.0,19579
208,0.0,19580
209,0.0,19581
210,0.0,19585
211,0.0,19586
212,0.0,19588
213,0.0,19593
