,betweenness_centrality,vertex
0,0.0,40562
1,0.0,40570
2,0.0,40576
3,0.0,40577
4,0.0,40579
5,0.0,40581
6,0.0,40582
7,0.0,40591
8,0.0,40592
9,0.0,40598
10,0.0,40600
11,0.0,40603
12,0.0,40605
13,0.0,40607
14,0.0,40609
15,0.0,40611
16,0.0,40613
17,0.0,40614
18,0.0,40616
19,0.0,40618
20,0.0,40621
21,0.0,40628
22,0.0,40629
23,0.0,40634
24,0.0,40635
25,0.0,40636
26,0.0,40641
27,0.0,40642
28,0.0,40643
29,0.0,40644
30,0.0,40646
31,0.0,40649
32,0.0,51575
33,0.0,51576
34,0.0,51577
35,0.0,51578
36,0.0,51582
37,0.0,51583
38,0.0,51587
39,0.0,51588
40,0.0,51590
41,0.0,51591
42,0.0,51592
43,0.0,51594
44,0.0,51595
45,0.0,51596
46,0.0,51597
47,0.0,51599
48,0.0,51602
49,0.0,51604
50,0.0,51606
51,0.0,51609
52,0.0,51611
53,0.0,51613
54,0.0,51614
55,0.0,51615
56,0.0,51616
57,0.0,51617
58,0.0,51618
59,0.0,51622
60,0.0,51624
61,0.0,51625
62,0.0,51626
63,0.0,51627
64,0.0,13685
65,0.0,13686
66,0.0,13687
67,0.0,13689
68,0.0,13690
69,0.0,13693
70,0.0,13696
71,0.0,13698
72,0.0,13700
73,0.0,13706
74,0.0,13709
75,0.0,13710
76,0.0,13714
77,0.0,13716
78,0.0,13718
79,0.0,13724
80,0.0,13727
81,0.0,13728
82,0.0,13730
83,0.0,13731
84,0.0,13735
85,0.0,13736
86,0.0,13739
87,0.0,13740
88,0.0,13742
89,0.0,13744
90,0.0,13752
91,0.0,13753
92,0.0,13757
93,0.0,13760
94,0.0,13762
95,0.0,13763
96,0.0,18537
97,0.0,18539
98,0.0,18545
99,0.0,18546
100,0.0,18547
101,0.0,18549
102,0.0,18550
103,0.0,18553
104,0.0,18554
105,0.0,18556
106,0.0,18558
107,0.0,18560
108,0.0,18563
109,0.0,18564
110,0.0,18566
111,0.0,18570
112,0.0,18577
113,0.0,18578
114,0.0,18579
115,0.0,18582
116,0.0,18590
117,0.0,18592
118,0.0,18593
119,0.0,18594
120,0.0,18597
121,0.0,18599
122,0.0,18600
123,0.0,18603
124,0.0,18605
125,0.0,18607
126,0.0,18616
127,0.0,18617
128,0.0,29738
129,0.0,29739
130,0.0,29740
131,0.0,29743
132,0.0,29744
133,0.0,29748
134,0.0,29752
135,0.0,29754
136,0.0,29756
137,0.0,29757
138,0.0,29760
139,0.0,29767
140,0.0,29770
141,0.0,29773
142,0.0,29778
143,0.0,29779
144,0.0,29782
145,0.0,29784
146,0.0,29786
147,0.0,29789
148,0.0,29790
149,0.0,29792
150,0.0,29793
151,0.0,29794
152,0.0,29798
153,0.0,29800
154,0.0,29805
155,0.0,29806
156,0.0,29809
157,0.0,29810
158,0.0,29813
159,0.0,29814
160,0.0,27670
161,0.0,27671
162,0.0,27673
163,0.0,27674
164,0.0,27678
165,0.0,27682
166,0.0,27684
167,0.0,27686
168,0.0,27691
169,0.0,27693
170,0.0,27696
171,0.0,27697
172,0.0,27698
173,0.0,27700
174,0.0,27701
175,0.0,27711
176,0.0,27712
177,0.0,27713
178,0.0,27716
179,0.0,27718
180,0.0,27720
181,0.0,27722
182,0.0,27725
183,0.0,27727
184,0.0,27729
185,0.0,27733
186,0.0,27734
187,0.0,27747
188,0.0,27750
189,0.0,27751
190,0.0,27752
191,0.0,27753
192,0.0,13522
193,0.0,13524
194,0.0,13525
195,0.0,13528
196,0.0,13529
197,0.0,13530
198,0.0,13533
199,0.0,13536
200,0.0,13539
201,0.0,13540
202,0.0,13549
203,0.0,13550
204,0.0,13551
205,0.0,13552
206,0.0,13557
207,0.0,13558
208,0.0,13561
209,0.0,13563
210,0.0,13565
211,0.0,13566
212,0.0,13567
213,0.0,13569
214,0.0,13570
215,0.0,13571
216,0.0,13575
217,0.0,13576
218,0.0,13577
219,0.0,13578
220,0.0,13579
221,0.0,13580
222,0.0,13582
223,0.0,13585
224,0.0,12985
225,0.0,12987
226,0.0,12989
227,0.0,12992
228,0.0,12994
229,0.0,12995
230,0.0,12997
231,0.0,13000
232,0.0,13001
233,0.0,13002
234,0.0,13003
235,0.0,13007
236,0.0,13010
237,0.0,13012
238,0.0,13013
239,0.0,13014
240,0.0,13017
241,0.0,13018
242,0.0,13019
243,0.0,13020
244,0.0,13021
245,0.0,13024
246,0.0,13025
247,0.0,13027
248,0.0,13033
249,0.0,13035
250,0.0,13036
251,0.0,13038
252,0.0,13042
253,0.0,13049
254,0.0,13055
255,0.0,13060
256,0.0,19543
257,0.0,19545
258,0.0,19547
259,0.0,19549
260,0.0,19550
261,0.0,19552
262,0.0,19554
263,0.0,19555
264,0.0,19559
265,0.0,19561
266,0.0,19565
267,0.0,19566
268,0.0,19567
269,0.0,19572
270,0.0,19575
271,0.0,19579
272,0.0,19580
273,0.0,19581
274,0.0,19585
275,0.0,19586
276,0.0,19588
277,0.0,19593
278,0.0,19596
279,0.0,19606
280,0.0,19607
281,0.0,19610
282,0.0,19613
283,0.0,19618
284,0.0,19619
285,0.0,19625
286,0.0,19631
287,0.0,19635
288,0.0,57075
289,0.0,57076
290,0.0,57077
291,0.0,57081
292,0.0,57082
293,0.0,57084
294,0.0,57087
295,0.0,57088
296,0.0,57090
297,0.0,57092
298,0.0,57094
299,0.0,57095
300,0.0,57096
301,0.0,57097
302,0.0,57098
303,0.0,57100
304,0.0,57101
305,0.0,57102
306,0.0,57106
307,0.0,57108
308,0.0,57109
309,0.0,57110
310,0.0,57111
311,0.0,57112
312,0.0,57113
313,0.0,57114
314,0.0,57116
315,0.0,57118
316,0.0,57120
317,0.0,57123
318,0.0,57124
319,0.0,57129
320,0.0,12900
321,0.0,12903
322,0.0,12904
323,0.0,12910
324,0.0,12918
325,0.0,12922
326,0.0,12925
327,0.0,12927
328,0.0,12930
329,0.0,12935
330,0.0,12938
331,0.0,12939
332,0.0,12942
333,0.0,12947
334,0.0,12949
335,0.0,12950
336,0.0,12951
337,0.0,12956
338,0.0,12958
339,0.0,12959
340,0.0,12960
341,0.0,12961
342,0.0,12963
343,0.0,12967
344,0.0,12968
345,0.0,12970
346,0.0,12971
347,0.0,12973
348,0.0,12977
349,0.0,12978
350,0.0,12979
351,0.0,12981
352,0.0,42903
353,0.0,42909
354,0.0,42912
355,0.0,42913
356,0.0,42918
357,0.0,42924
358,0.0,42925
359,0.0,42932
360,0.0,42937
361,0.0,42939
362,0.0,42944
363,0.0,42945
364,0.0,42948
365,0.0,42950
366,0.0,42952
367,0.0,42956
368,0.0,42957
369,0.0,42959
370,0.0,42960
371,0.0,42961
372,0.0,42962
373,0.0,42964
374,0.0,42967
375,0.0,42970
376,0.0,42972
377,0.0,42976
378,0.0,42980
379,0.0,42984
380,0.0,42995
381,0.0,42996
382,0.0,42998
383,0.0,42999
384,0.0,46460
385,0.0,46461
386,0.0,46462
387,0.0,46466
388,0.0,46470
389,0.0,46471
390,0.0,46473
391,0.0,46474
392,0.0,46476
393,0.0,46477
394,0.0,46478
395,0.0,46483
396,0.0,46484
397,0.0,46494
398,0.0,46496
399,0.0,46497
400,0.0,46499
401,0.0,46502
402,0.0,46505
403,0.0,46507
404,0.0,46508
405,0.0,46509
406,0.0,46510
407,0.0,46512
408,0.0,46513
409,0.0,46521
410,0.0,46525
411,0.0,46530
412,0.0,46534
413,0.0,46540
414,0.0,46542
415,0.0,46546
416,0.0,45659
417,0.0,45661
418,0.0,45662
419,0.0,45664
420,0.0,45665
421,0.0,45666
422,0.0,45667
423,0.0,45668
424,0.0,45671
425,0.0,45672
426,0.0,45673
427,0.0,45677
428,0.0,45678
429,0.0,45682
430,0.0,45683
431,0.0,45689
432,0.0,45690
433,0.0,45692
434,0.0,45693
435,0.0,45696
436,0.0,45697
437,0.0,45698
438,0.0,45699
439,0.0,45700
440,0.0,45703
441,0.0,45704
442,0.0,45706
443,0.0,45707
444,0.0,45708
445,0.0,45710
446,0.0,45712
447,0.0,45713
448,0.0,17825
449,0.0,17827
450,0.0,17829
451,0.0,17831
452,0.0,17833
453,0.0,17834
454,0.0,17837
455,0.0,17853
456,0.0,17854
457,0.0,17855
458,0.0,17856
459,0.0,17857
460,0.0,17858
461,0.0,17861
462,0.0,17862
463,0.0,17866
464,0.0,17867
465,0.0,17873
466,0.0,17877
467,0.0,17878
468,0.0,17879
469,0.0,17880
470,0.0,17882
471,0.0,17887
472,0.0,17888
473,0.0,17890
474,0.0,17892
475,0.0,17893
476,0.0,17902
477,0.0,17904
478,0.0,17913
479,0.0,17918
480,0.0,27920
481,0.0,27921
482,0.0,27922
483,0.0,27926
484,0.0,27931
485,0.0,27933
486,0.0,27934
487,0.0,27936
488,0.0,27938
489,0.0,27941
490,0.0,27943
491,0.0,27947
492,0.0,27949
493,0.0,27950
494,0.0,27951
495,0.0,27953
496,0.0,27956
497,0.0,27957
498,0.0,27958
499,0.0,27961
500,0.0,27968
501,0.0,27969
502,0.0,27971
503,0.0,27973
504,0.0,27974
505,0.0,27976
506,0.0,27978
507,0.0,27984
508,0.0,27989
509,0.0,27991
510,0.0,27993
511,0.0,27996
512,0.0,18332
513,0.0,18338
514,0.0,18339
515,0.0,18350
516,0.0,18355
517,0.0,18359
518,0.0,18361
519,0.0,18363
520,0.0,18366
521,0.0,18369
522,0.0,18372
523,0.0,18378
524,0.0,18382
525,0.0,18384
526,0.0,18386
527,0.0,18387
528,0.0,18391
529,0.0,18396
530,0.0,18401
531,0.0,18403
532,0.0,18405
533,0.0,18408
534,0.0,18409
535,0.0,18413
536,0.0,18414
537,0.0,18415
538,0.0,18419
539,0.0,18424
540,0.0,18428
541,0.0,18429
542,0.0,18432
543,0.0,18433
544,0.0,52019
545,0.0,52020
546,0.0,52021
547,0.0,52022
548,0.0,52023
549,0.0,52027
550,0.0,52029
551,0.0,52030
552,0.0,52033
553,0.0,52034
554,0.0,52035
555,0.0,52036
556,0.0,52037
557,0.0,52039
558,0.0,52042
559,0.0,52044
560,0.0,52045
561,0.0,52047
562,0.0,52048
563,0.0,52051
564,0.0,52052
565,0.0,52053
566,0.0,52054
567,0.0,52056
568,0.0,52060
569,0.0,52061
570,0.0,52062
571,0.0,52064
572,0.0,52065
573,0.0,52068
574,0.0,52069
575,0.0,52071
576,0.0,34138
577,0.0,34139
578,0.0,34140
579,0.0,34141
580,0.0,34143
581,0.0,34146
582,0.0,34147
583,0.0,34153
584,0.0,34154
585,0.0,34162
586,0.0,34163
587,0.0,34166
588,0.0,34167
589,0.0,34169
590,0.0,34171
591,0.0,34172
592,0.0,34174
593,0.0,34176
594,0.0,34177
595,0.0,34178
596,0.0,34179
597,0.0,34180
598,0.0,34186
599,0.0,34187
600,0.0,34188
601,0.0,34190
602,0.0,34192
603,0.0,34195
604,0.0,34198
605,0.0,34200
606,0.0,34202
607,0.0,34204
608,0.0,18689
609,0.0,18692
610,0.0,18695
611,0.0,18696
612,0.0,18697
613,0.0,18704
614,0.0,18705
615,0.0,18706
616,0.0,18707
617,0.0,18710
618,0.0,18711
619,0.0,18712
620,0.0,18716
621,0.0,18728
622,0.0,18730
623,0.0,18733
624,0.0,18734
625,0.0,18739
626,0.0,18740
627,0.0,18743
628,0.0,18745
629,0.0,18746
630,0.0,18748
631,0.0,18751
632,0.0,18754
633,0.0,18755
634,0.0,18757
635,0.0,18759
636,0.0,18760
637,0.0,18761
638,0.0,18763
639,0.0,18770
640,0.0,24113
641,0.0,24115
642,0.0,24116
643,0.0,24117
644,0.0,24118
645,0.0,24119
646,0.0,24120
647,0.0,24122
648,0.0,24128
649,0.0,24130
650,0.0,24132
651,0.0,24134
652,0.0,24136
653,0.0,24142
654,0.0,24144
655,0.0,24145
656,0.0,24147
657,0.0,24148
658,0.0,24153
659,0.0,24156
660,0.0,24159
661,0.0,24160
662,0.0,24163
663,0.0,24164
664,0.0,24170
665,0.0,24171
666,0.0,24172
667,0.0,24176
668,0.0,24180
669,0.0,24182
670,0.0,24184
671,0.0,24185
672,0.0,21581
673,0.0,21582
674,0.0,21583
675,0.0,21585
676,0.0,21591
677,0.0,21592
678,0.0,21593
679,0.0,21594
680,0.0,21596
681,0.0,21598
682,0.0,21605
683,0.0,21606
684,0.0,21607
685,0.0,21609
686,0.0,21611
687,0.0,21618
688,0.0,21619
689,0.0,21620
690,0.0,21621
691,0.0,21626
692,0.0,21628
693,0.0,21631
694,0.0,21634
695,0.0,21636
696,0.0,21637
697,0.0,21638
698,0.0,21640
699,0.0,21642
700,0.0,21644
701,0.0,21646
702,0.0,21647
703,0.0,21649
704,0.0,32709
705,0.0,32711
706,0.0,32714
707,0.0,32715
708,0.0,32718
709,0.0,32721
710,0.0,32722
711,0.0,32725
712,0.0,32726
713,0.0,32729
714,0.0,32730
715,0.0,32731
716,0.0,32734
717,0.0,32735
718,0.0,32736
719,0.0,32738
720,0.0,32739
721,0.0,32742
722,0.0,32744
723,0.0,32745
724,0.0,32748
725,0.0,32755
726,0.0,32756
727,0.0,32758
728,0.0,32761
729,0.0,32771
730,0.0,32774
731,0.0,32775
732,0.0,32776
733,0.0,32780
734,0.0,32781
735,0.0,32784
736,0.0,25071
737,0.0,25073
738,0.0,25074
739,0.0,25075
740,0.0,25076
741,0.0,25079
742,0.0,25080
743,0.0,25081
744,0.0,25084
745,0.0,25085
746,0.0,25087
747,0.0,25088
748,0.0,25091
749,0.0,25092
750,0.0,25094
751,0.0,25096
752,0.0,25097
753,0.0,25101
754,0.0,25102
755,0.0,25104
756,0.0,25109
757,0.0,25110
758,0.0,25111
759,0.0,25112
760,0.0,25113
761,0.0,25115
762,0.0,25116
763,0.0,25120
