,betweenness_centrality,vertex
354,0.0,12904
355,0.0,12910
356,0.0,12918
357,0.0,12922
358,0.0,12925
359,0.0,12927
360,0.0,12930
361,0.0,12935
362,0.0,12938
363,0.0,12939
364,0.0,12942
365,0.0,12947
366,0.0,12949
367,0.0,12950
368,0.0,12951
369,0.0,12956
370,0.0,12958
371,0.0,12959
372,0.0,12960
373,0.0,12961
374,0.0,12963
375,0.0,12967
376,0.0,12968
377,0.0,12970
378,0.0,12971
379,0.0,12973
380,0.0,12977
381,0.0,12978
382,0.0,12979
383,0.0,12981
384,0.0,25071
385,0.0,25073
386,0.0,25074
387,0.0,25075
388,0.0,25076
389,0.0,25079
390,0.0,25080
391,0.0,25081
392,0.0,25084
393,0.0,25085
394,0.0,25087
395,0.0,25088
396,0.0,25091
397,0.0,25092
398,0.0,25094
399,0.0,25096
400,0.0,25097
401,0.0,25101
402,0.0,25102
403,0.0,25104
404,0.0,25109
405,0.0,25110
406,0.0,25111
407,0.0,25112
408,0.0,25113
409,0.0,25115
410,0.0,25116
411,0.0,25120
412,0.0,25122
413,0.0,25124
414,0.0,25128
415,0.0,25131
416,0.0,13522
417,0.0,13524
418,0.0,13525
419,0.0,13528
420,0.0,13529
421,0.0,13530
422,0.0,13533
423,0.0,13536
424,0.0,13539
425,0.0,13540
426,0.0,13549
427,0.0,13550
428,0.0,13551
429,0.0,13552
430,0.0,13557
431,0.0,13558
432,0.0,13561
433,0.0,13563
434,0.0,13565
435,0.0,13566
436,0.0,13567
437,0.0,13569
438,0.0,13570
439,0.0,13571
440,0.0,13575
441,0.0,13576
442,0.0,13577
443,0.0,13578
444,0.0,13579
445,0.0,13580
446,0.0,13582
447,0.0,13585
448,0.0,45659
449,0.0,45661
450,0.0,45662
451,0.0,45664
452,0.0,45665
453,0.0,45666
454,0.0,45667
455,0.0,45668
456,0.0,45671
457,0.0,45672
458,0.0,45673
459,0.0,45677
460,0.0,45678
461,0.0,45682
462,0.0,45683
463,0.0,45689
464,0.0,45690
465,0.0,45692
466,0.0,45693
467,0.0,45696
468,0.0,45697
469,0.0,45698
470,0.0,45699
471,0.0,45700
472,0.0,45703
473,0.0,45704
474,0.0,45706
475,0.0,45707
476,0.0,45708
477,0.0,45710
478,0.0,45712
479,0.0,45713
480,0.0,24113
481,0.0,24115
482,0.0,24116
483,0.0,24117
484,0.0,24118
485,0.0,24119
486,0.0,24120
487,0.0,24122
488,0.0,24128
489,0.0,24130
490,0.0,24132
491,0.0,24134
492,0.0,24136
493,0.0,24142
494,0.0,24144
495,0.0,24145
496,0.0,24147
497,0.0,24148
498,0.0,24153
499,0.0,24156
500,0.0,24159
501,0.0,24160
502,0.0,24163
503,0.0,24164
504,0.0,24170
505,0.0,24171
506,0.0,24172
507,0.0,24176
508,0.0,24180
509,0.0,24182
510,0.0,24184
511,0.0,24185
512,0.0,19543
513,0.0,19545
514,0.0,19547
515,0.0,19549
516,0.0,19550
517,0.0,19552
518,0.0,19554
519,0.0,19555
520,0.0,19559
521,0.0,19561
522,0.0,19565
523,0.0,19566
524,0.0,19567
525,0.0,19572
526,0.0,19575
527,0.0,19579
528,0.0,19580
529,0.0,19581
530,0.0,19585
531,0.0,19586
532,0.0,19588
533,0.0,19593
534,0.0,19596
535,0.0,19606
536,0.0,19607
537,0.0,19610
538,0.0,19613
539,0.0,19618
540,0.0,19619
541,0.0,19625
542,0.0,19631
543,0.0,19635
544,0.0,18332
545,0.0,18338
546,0.0,18339
547,0.0,18350
548,0.0,18355
549,0.0,18359
550,0.0,18361
551,0.0,18363
552,0.0,18366
553,0.0,18369
554,0.0,18372
555,0.0,18378
556,0.0,18382
557,0.0,18384
558,0.0,18386
559,0.0,18387
560,0.0,18391
561,0.0,18396
562,0.0,18401
563,0.0,18403
564,0.0,18405
565,0.0,18408
566,0.0,18409
567,0.0,18413
568,0.0,18414
569,0.0,18415
570,0.0,18419
571,0.0,18424
572,0.0,18428
573,0.0,18429
574,0.0,18432
575,0.0,18433
576,0.0,33449
577,0.0,33450
578,0.0,33451
579,0.0,33452
580,0.0,33455
581,0.0,33460
582,0.0,33463
583,0.0,33464
584,0.0,33466
585,0.0,33469
586,0.0,33472
587,0.0,33478
588,0.0,33481
589,0.0,33482
590,0.0,33489
591,0.0,33490
592,0.0,33491
593,0.0,33497
594,0.0,33498
595,0.0,33500
596,0.0,33501
597,0.0,33504
598,0.0,33505
599,0.0,33513
600,0.0,33514
601,0.0,33515
602,0.0,33517
603,0.0,33518
604,0.0,33521
605,0.0,33524
606,0.0,33526
607,0.0,33530
608,0.0,5777
609,0.0,5778
610,0.0,5781
611,0.0,5782
612,0.0,5783
613,0.0,5784
614,0.0,5785
615,0.0,5786
616,0.0,5787
617,0.0,5790
618,0.0,5791
619,0.0,5792
620,0.0,5795
621,0.0,5797
622,0.0,5800
623,0.0,5801
624,0.0,5803
625,0.0,5807
626,0.0,5808
627,0.0,5817
628,0.0,5820
629,0.0,5825
630,0.0,5829
631,0.0,5835
632,0.0,5842
633,0.0,5846
634,0.0,5849
635,0.0,5850
636,0.0,5852
637,0.0,5855
638,0.0,5856
639,0.0,5859
640,0.0,21581
641,0.0,21582
642,0.0,21583
643,0.0,21585
644,0.0,21591
645,0.0,21592
646,0.0,21593
647,0.0,21594
648,0.0,21596
649,0.0,21598
650,0.0,21605
651,0.0,21606
652,0.0,21607
653,0.0,21609
654,0.0,21611
655,0.0,21618
656,0.0,21619
657,0.0,21620
658,0.0,21621
659,0.0,21626
660,0.0,21628
661,0.0,21631
662,0.0,21634
663,0.0,21636
664,0.0,21637
665,0.0,21638
666,0.0,21640
667,0.0,21642
668,0.0,21644
669,0.0,21646
670,0.0,21647
671,0.0,21649
672,0.0,17825
673,0.0,17827
674,0.0,17829
675,0.0,17831
676,0.0,17833
677,0.0,17834
678,0.0,17837
679,0.0,17853
680,0.0,17854
681,0.0,17855
682,0.0,17856
683,0.0,17857
684,0.0,17858
685,0.0,17861
686,0.0,17862
687,0.0,17866
688,0.0,17867
689,0.0,17873
690,0.0,17877
691,0.0,17878
692,0.0,17879
693,0.0,17880
694,0.0,17882
695,0.0,17887
696,0.0,17888
697,0.0,17890
698,0.0,17892
699,0.0,17893
700,0.0,17902
701,0.0,17904
702,0.0,17913
703,0.0,17918
704,0.0,32311
705,0.0,32312
706,0.0,32314
707,0.0,32315
708,0.0,32317
709,0.0,32319
710,0.0,32325
711,0.0,32326
712,0.0,32327
713,0.0,32329
714,0.0,32330
715,0.0,32332
716,0.0,32334
717,0.0,32335
718,0.0,32339
719,0.0,32340
720,0.0,32341
721,0.0,32343
722,0.0,32345
723,0.0,32349
724,0.0,32354
725,0.0,32361
726,0.0,32364
727,0.0,32367
728,0.0,32369
729,0.0,32370
730,0.0,32373
731,0.0,32375
732,0.0,32376
733,0.0,32377
734,0.0,32378
735,0.0,32381
736,0.0,10095
737,0.0,10098
738,0.0,10102
739,0.0,10104
740,0.0,10105
741,0.0,10106
742,0.0,10111
743,0.0,10112
744,0.0,10118
745,0.0,10119
746,0.0,10120
747,0.0,10121
748,0.0,10122
749,0.0,10130
750,0.0,10133
751,0.0,10134
752,0.0,10140
753,0.0,10142
754,0.0,10147
755,0.0,10148
756,0.0,10149
757,0.0,10155
758,0.0,10160
759,0.0,10162
760,0.0,10167
761,0.0,10169
762,0.0,10173
763,0.0,10175
764,0.0,10176
765,0.0,10177
766,0.0,10179
767,0.0,10186
768,0.0,57075
769,0.0,57076
770,0.0,57077
771,0.0,57081
772,0.0,57082
773,0.0,57084
774,0.0,57087
775,0.0,57088
776,0.0,57090
777,0.0,57092
778,0.0,57094
779,0.0,57095
780,0.0,57096
781,0.0,57097
782,0.0,57098
783,0.0,57100
