,pagerank,vertex
0,1.751359378e-05,1145
1,1.435090144e-05,1161
2,1.434849946e-05,1298
3,1.663413241e-05,1359
4,1.667527249e-05,1381
5,1.538437209e-05,1405
6,1.551525565e-05,1445
7,1.78784976e-05,1461
8,1.629336839e-05,1483
9,1.670843812e-05,1543
10,1.997415893e-05,1551
11,2.181942e-05,1554
12,2.061449413e-05,1557
13,1.852838614e-05,1560
14,1.654562948e-05,1573
15,1.699540189e-05,1587
16,1.755580888e-05,1596
17,1.690301178e-05,1622
18,2.303151632e-05,1636
19,1.916886504e-05,1668
20,1.754850564e-05,1687
21,1.986421921e-05,1748
22,1.925930337e-05,1762
23,1.540367703e-05,1791
24,1.749201147e-05,1817
25,1.887088183e-05,1849
26,1.781022911e-05,1884
27,1.501499992e-05,1899
28,1.482725474e-05,1917
29,1.516689736e-05,1933
30,1.59964693e-05,1945
31,1.634490582e-05,1948
32,5.88405328e-06,51866
33,4.752637324e-06,51868
34,6.640150332e-06,51877
35,7.22674622e-06,51880
36,1.011152199e-05,51883
37,6.638441846e-06,51884
38,8.826066733e-06,51886
39,1.679770321e-05,51889
40,1.135805724e-05,51890
41,8.563672054e-06,51893
42,6.807415048e-06,51897
43,6.871294772e-06,51898
44,7.517997346e-06,51911
45,1.062066167e-05,51912
46,9.372265595e-06,51913
47,7.634032954e-06,51917
48,5.553283245e-06,51918
49,1.078745845e-05,51922
50,1.344743941e-05,51926
51,7.29108524e-06,51930
52,6.361223768e-06,51931
53,1.196508856e-05,51932
54,9.441683687e-06,51934
55,1.220652757e-05,51936
56,9.162506103e-06,51941
57,1.578122647e-05,51942
58,8.426535715e-06,51948
59,5.236211564e-06,51949
60,6.883334208e-06,51950
61,8.060274013e-06,51951
62,9.99108488e-06,51952
63,1.031801821e-05,51953
64,1.50328533e-05,37516
65,2.071467679e-05,37523
66,1.444938152e-05,37527
67,1.590152897e-05,37531
68,1.323420111e-05,37538
69,2.362258601e-05,37541
70,1.206949582e-05,37545
71,1.62512315e-05,37549
72,2.246981057e-05,37561
73,1.677895671e-05,37568
74,1.908598824e-05,37576
75,1.4493663e-05,37578
76,1.161827186e-05,37581
77,1.561079807e-05,37593
78,1.448565399e-05,37595
79,3.435986218e-05,37600
80,1.717049781e-05,37601
81,1.351841638e-05,37622
82,1.961535963e-05,37634
83,9.341221812e-06,37639
84,1.447347677e-05,37642
85,1.294592039e-05,37659
86,1.718471503e-05,37662
87,2.184414552e-05,37663
88,1.584588426e-05,37665
89,3.350333645e-05,37672
90,2.239886453e-05,37684
91,1.280690049e-05,37686
92,1.240808797e-05,37692
93,1.118273394e-05,37698
94,1.309820982e-05,37700
95,2.088698238e-05,37713
96,1.4254897e-05,23731
97,1.671708924e-05,23770
98,1.676715146e-05,23772
99,1.398145287e-05,23778
100,2.015212158e-05,23783
101,1.330124269e-05,23795
102,1.119917215e-05,23805
103,1.866177809e-05,23823
104,1.50737078e-05,23830
105,1.432316549e-05,23834
106,1.756076199e-05,23850
107,1.302324927e-05,23855
108,1.367802452e-05,23864
109,1.316875569e-05,23865
110,1.370507107e-05,23870
111,2.028714516e-05,23872
112,1.671575774e-05,23873
113,1.728702409e-05,23905
114,1.410041568e-05,23908
115,1.691709258e-05,23909
116,1.41636865e-05,23913
117,1.414765393e-05,23925
118,1.4727093e-05,23929
119,1.798548328e-05,23962
120,2.053416756e-05,23964
121,1.487960617e-05,23970
122,1.451236494e-05,23972
123,1.649353908e-05,23976
124,1.414002327e-05,23987
125,1.538342622e-05,23996
126,1.087053897e-05,24004
127,1.594192327e-05,24017
128,7.710940736e-06,50591
129,1.460574276e-05,50612
130,9.950034837e-06,50634
131,9.403217518e-06,50643
132,1.454355242e-05,50644
133,1.150636217e-05,50703
134,1.213571886e-05,50711
135,9.906811101e-06,50738
136,6.861552265e-06,50778
137,9.976860383e-06,50785
138,1.307952334e-05,50830
139,1.064864227e-05,50855
140,1.254067956e-05,50861
141,8.551282917e-06,50972
142,1.064336084e-05,50993
143,1.168596282e-05,51009
144,9.012537703e-06,51071
145,2.143357597e-05,51091
146,8.776235518e-06,51112
147,1.646315832e-05,51194
148,1.766405512e-05,51207
149,1.021709704e-05,51209
150,9.647883417e-06,51221
151,1.267912739e-05,51225
152,1.306054946e-05,51230
153,1.505633281e-05,51265
154,8.461405741e-06,51280
155,7.545135304e-06,51289
156,1.255858842e-05,51307
157,6.397692232e-06,51314
158,1.479922412e-05,51337
159,9.171815691e-06,51378
160,9.012167538e-06,49463
161,5.416360182e-06,49465
162,7.262382951e-06,49471
163,5.377566595e-06,49477
164,8.121220162e-06,49480
165,8.234987035e-06,49483
166,1.246856391e-05,49484
167,1.14556542e-05,49487
168,1.140165296e-05,49488
169,7.497967545e-06,49489
170,1.249158777e-05,49492
171,1.172075918e-05,49493
172,9.559009413e-06,49494
173,7.903565347e-06,49495
174,5.184763722e-06,49498
175,1.062022966e-05,49499
176,1.14270033e-05,49512
177,7.075416306e-06,49514
178,6.993365332e-06,49518
179,5.949161277e-06,49520
180,8.190716471e-06,49522
181,1.220899321e-05,49525
182,1.137887466e-05,49528
183,5.451646302e-06,49529
184,6.592204045e-06,49530
185,6.640492757e-06,49531
186,1.018407238e-05,49532
187,9.7327611e-06,49533
188,4.316412742e-06,49538
189,4.291131063e-06,49541
190,8.597318811e-06,49545
191,4.287561296e-06,49548
192,8.499411706e-06,51670
193,1.3085305e-05,51672
194,9.1050224e-06,51673
195,9.073259207e-06,51675
196,9.940601558e-06,51676
197,1.232592149e-05,51677
198,1.238999903e-05,51680
199,8.634759979e-06,51683
200,8.929787327e-06,51687
201,1.399437951e-05,51691
202,6.753000434e-06,51692
203,1.0547069e-05,51695
204,4.963779702e-06,51697
205,9.221737855e-06,51702
206,9.4313109e-06,51703
207,6.603289876e-06,51704
208,8.721461199e-06,51713
209,8.082028216e-06,51714
210,6.460885288e-06,51716
211,1.177866125e-05,51719
212,3.770709327e-06,51722
213,1.022372635e-05,51724
214,1.285349572e-05,51725
215,8.141206308e-06,51733
216,1.282308676e-05,51735
217,1.770856761e-05,51739
218,9.09992923e-06,51740
219,1.011361019e-05,51746
220,5.888323358e-06,51747
221,7.761836969e-06,51753
222,7.900713172e-06,51757
223,7.871693924e-06,51760
224,1.718913882e-05,20327
225,1.607255945e-05,20343
226,9.991745173e-06,20344
227,1.265355513e-05,20352
228,2.087128269e-05,20353
229,2.083173604e-05,20357
230,1.133578735e-05,20363
231,1.286055976e-05,20372
232,1.271800284e-05,20375
233,1.125969902e-05,20387
234,1.400611745e-05,20391
235,1.230817907e-05,20404
236,1.24832668e-05,20408
237,1.610421168e-05,20410
238,2.103686529e-05,20414
239,1.716566294e-05,20429
240,1.056419478e-05,20432
241,1.102866554e-05,20448
242,1.323335982e-05,20461
243,6.928792118e-06,20469
244,1.144549242e-05,20490
245,1.256616451e-05,20509
246,1.036072717e-05,20519
247,8.089035873e-06,20530
248,9.161330127e-06,20535
249,1.26629202e-05,20539
250,1.524279196e-05,20542
251,9.931908608e-06,20570
252,1.09927405e-05,20573
253,1.149116179e-05,20582
254,9.714423868e-06,20600
255,1.120038451e-05,20603
256,1.108449578e-05,23238
257,1.102260103e-05,23239
258,8.676237485e-06,23259
259,1.205962599e-05,23269
260,1.496060759e-05,23284
261,1.056652036e-05,23291
262,8.775085917e-06,23305
263,1.145773604e-05,23310
264,1.409797824e-05,23323
265,1.673227962e-05,23332
266,1.223152412e-05,23337
267,1.296952905e-05,23346
268,1.627775964e-05,23352
269,9.454027349e-06,23367
270,9.207102266e-06,23401
271,1.694216735e-05,23407
272,1.629602957e-05,23410
273,1.119855278e-05,23414
274,1.475532736e-05,23415
275,1.308146693e-05,23416
276,1.189721934e-05,23419
277,1.232267914e-05,23435
278,9.382539247e-06,23436
279,1.47597375e-05,23440
280,1.13268934e-05,23441
281,1.50694259e-05,23442
282,1.398544737e-05,23446
283,1.307379989e-05,23463
284,1.474339751e-05,23465
285,1.005972535e-05,23468
286,9.648560081e-06,23470
287,1.613042878e-05,23495
288,1.700891153e-05,18946
289,1.289881584e-05,18947
290,1.733673162e-05,18953
