,pagerank,vertex
0,1.419106593e-05,1145
1,1.37946854e-05,1161
2,1.294503181e-05,1298
3,1.140731911e-05,1359
4,2.075780321e-05,1381
5,1.06087964e-05,1405
6,1.217416047e-05,1445
7,1.436609091e-05,1461
8,1.548940418e-05,1483
9,2.260463953e-05,1543
10,2.489355575e-05,1551
11,1.481673098e-05,1554
12,2.893638703e-05,1557
13,2.241977745e-05,1560
14,9.782244888e-06,1573
15,1.766935748e-05,1587
16,1.862129648e-05,1596
17,1.867807805e-05,1622
18,2.522422619e-05,1636
19,1.574726957e-05,1668
20,1.07626347e-05,1687
21,1.809605601e-05,1748
22,1.746925955e-05,1762
23,1.435692502e-05,1791
24,1.212347433e-05,1817
25,2.318187217e-05,1849
26,1.226643872e-05,1884
27,1.341941061e-05,1899
28,1.153810445e-05,1917
29,1.321512173e-05,1933
30,2.379619582e-05,1945
31,1.371500275e-05,1948
32,4.613680176e-06,51866
33,4.629377599e-06,51868
34,4.799234375e-06,51877
35,3.996927262e-06,51880
36,5.823868378e-06,51883
37,4.797000656e-06,51884
38,5.677237823e-06,51886
39,1.005018203e-05,51889
40,1.192383115e-05,51890
41,9.181757378e-06,51893
42,6.068862604e-06,51897
43,4.403294042e-06,51898
44,8.134829841e-06,51911
45,6.348457191e-06,51912
46,7.478072348e-06,51913
47,3.655663022e-06,51917
48,6.776845112e-06,51918
49,7.804059351e-06,51922
50,1.896282447e-05,51926
51,4.938734946e-06,51930
52,3.868404292e-06,51931
53,1.610190156e-05,51932
54,1.423178492e-05,51934
55,1.472621079e-05,51936
56,8.639388398e-06,51941
57,9.897371456e-06,51942
58,5.683326435e-06,51948
59,4.771085059e-06,51949
60,4.874829301e-06,51950
61,7.5486264e-06,51951
62,8.91363743e-06,51952
63,7.649176041e-06,51953
64,9.651376786e-06,37516
65,2.125542233e-05,37523
66,8.727259228e-06,37527
67,1.360570786e-05,37531
68,1.582180812e-05,37538
69,2.381381273e-05,37541
70,1.457366125e-05,37545
71,2.03753807e-05,37549
72,1.912740663e-05,37561
73,1.151025481e-05,37568
74,2.454162677e-05,37576
75,1.117030024e-05,37578
76,8.999279999e-06,37581
77,1.428151518e-05,37593
78,1.689525925e-05,37595
79,3.481720341e-05,37600
80,1.883505502e-05,37601
81,9.692894309e-06,37622
82,2.114369272e-05,37634
83,1.046622492e-05,37639
84,1.394110313e-05,37642
85,1.369060647e-05,37659
86,1.056242854e-05,37662
87,2.175834561e-05,37663
88,1.848362081e-05,37665
89,3.761870903e-05,37672
90,1.827919914e-05,37684
91,1.270144094e-05,37686
92,1.265206629e-05,37692
93,6.812071661e-06,37698
94,8.435335985e-06,37700
95,2.072735879e-05,37713
96,1.890467865e-05,23731
97,1.597446862e-05,23770
98,1.569552842e-05,23772
99,2.269490687e-05,23778
100,1.902672011e-05,23783
101,1.265800074e-05,23795
102,1.617830276e-05,23805
103,2.214843153e-05,23823
104,1.091162176e-05,23830
105,9.168270481e-06,23834
106,9.967577171e-06,23850
107,1.147141938e-05,23855
108,1.459682426e-05,23864
109,8.996450561e-06,23865
110,1.017076193e-05,23870
111,1.870205415e-05,23872
112,2.336762191e-05,23873
113,1.762616193e-05,23905
114,1.283633901e-05,23908
115,1.88417107e-05,23909
116,1.026500468e-05,23913
117,9.870950635e-06,23925
118,1.644697113e-05,23929
119,1.860279735e-05,23962
120,1.821350452e-05,23964
121,1.525598782e-05,23970
122,8.666533176e-06,23972
123,1.252220591e-05,23976
124,1.216138389e-05,23987
125,1.65754609e-05,23996
126,1.019938645e-05,24004
127,1.107887238e-05,24017
128,1.051399613e-05,19053
129,8.81969936e-06,19055
130,8.567161785e-06,19077
131,2.116099859e-05,19080
132,1.740935477e-05,19082
133,1.719704596e-05,19090
134,1.071578299e-05,19100
135,2.234124258e-05,19101
136,1.698314554e-05,19124
137,3.387235483e-05,19128
