,partition,vertex
457,3,47943
458,95,47947
459,83,47956
460,23,47959
461,20,47974
462,108,47988
463,123,47991
464,6,47994
465,131,48012
466,103,48024
467,84,48025
468,195,48035
469,217,48044
470,0,48048
471,99,48051
472,140,48052
473,173,48057
474,96,48065
475,65,48070
476,4,48071
477,207,48088
478,90,48100
479,57,48101
480,16,56142
481,19,56152
482,213,56153
483,49,56154
484,71,56156
485,29,56157
486,198,56158
487,17,56159
488,90,56161
489,30,56163
490,198,56165
491,8,56172
492,15,56173
493,195,56174
494,185,56176
495,11,56177
496,61,56178
497,209,56180
498,179,56184
499,198,56185
500,220,56186
501,173,56189
502,207,56191
503,110,56193
504,108,56195
505,112,56196
506,57,56198
507,211,56200
508,60,56201
509,19,56203
510,110,56207
511,55,56208
512,114,23431
513,137,23439
514,83,23444
515,108,23449
516,35,23450
517,19,23457
518,99,23460
519,88,23469
520,116,23473
521,7,23478
522,220,23511
523,217,23519
524,78,23521
525,73,23523
526,114,23529
527,132,23551
528,132,23554
529,131,23563
530,8,23572
531,55,23577
532,35,23588
533,179,23597
534,204,23601
535,71,23609
536,214,23619
537,173,23620
538,120,23640
539,37,23673
540,58,23687
541,79,23692
542,198,23709
543,79,23727
544,173,19053
545,11,19055
546,41,19077
547,37,19080
548,108,19082
549,55,19090
550,208,19100
551,87,19101
552,158,19124
553,3,19128
554,96,19130
555,31,19135
556,94,19140
557,9,19147
558,198,19148
559,28,19150
560,140,19154
561,94,19155
562,4,19161
563,68,19178
564,220,19182
565,65,19188
566,70,19196
567,34,19229
568,121,19234
569,217,19248
570,179,19259
571,132,19283
572,11,19288
573,69,19302
574,87,19312
575,141,19314
576,40,22589
577,207,22602
578,19,22606
579,120,22619
580,15,22629
581,114,22631
582,118,22633
583,130,22635
584,109,22639
585,91,22640
586,212,22716
587,71,22719
588,40,22725
589,61,22727
590,70,22732
591,63,22768
592,39,22772
593,70,22793
594,135,22801
595,118,22808
596,129,22815
597,220,22816
598,137,22852
599,70,22876
600,140,22894
601,107,22896
602,3,22903
603,4,22912
604,112,22917
605,64,22938
606,127,22941
607,52,22942
608,95,404
609,66,422
610,83,471
611,59,502
612,91,512
613,35,513
614,52,514
615,207,518
616,173,528
617,138,540
618,52,546
619,55,577
620,4,604
621,26,646
622,87,647
623,132,653
624,53,663
625,119,671
626,204,689
627,45,691
628,3,725
629,34,751
630,0,754
631,131,763
632,63,792
633,70,797
634,204,798
635,49,800
636,195,814
637,26,865
638,13,866
639,104,896
640,124,33643
641,116,33645
642,116,33649
643,37,33660
644,37,33671
645,58,33682
646,41,33717
647,125,33732
648,2,33740
649,40,33749
650,51,33750
651,133,33754
652,76,33767
653,91,33796
654,64,33816
655,204,33821
656,138,33823
657,8,33827
658,127,33830
659,64,33839
660,137,33852
661,113,33857
662,131,33868
663,42,33870
664,120,33872
665,87,33875
666,51,33880
667,29,33881
668,167,33900
669,98,33908
670,101,33917
671,60,33920
672,207,23238
673,81,23239
674,58,23259
675,13,23269
676,43,23284
677,68,23291
678,73,23305
679,98,23310
680,3,23323
681,180,23332
682,131,23337
683,84,23346
684,127,23352
685,67,23367
686,27,23401
687,139,23407
688,100,23410
689,28,23414
690,65,23415
691,217,23416
692,127,23419
693,50,23435
694,80,23436
695,24,23440
696,67,23441
697,134,23442
698,124,23446
699,132,23463
700,3,23465
701,128,23468
702,64,23470
703,17,23495
704,85,37701
705,91,37710
706,93,37717
707,27,37724
708,163,37740
709,139,37762
710,118,37766
711,16,37774
712,63,37776
713,212,37791
714,3,37793
715,173,37798
716,3,37811
717,4,37819
718,92,37820
719,58,37849
720,46,37862
721,90,37863
722,94,37866
723,9,37869
724,204,37870
725,133,37871
726,28,37874
727,55,37885
728,32,37906
729,111,37909
730,84,37912
731,140,37918
732,8,37922
733,91,37925
734,91,37927
735,70,37928
736,41,5948
737,204,5955
738,9,5979
739,67,5996
740,71,6064
741,140,6065
742,207,6088
743,20,6091
744,87,6106
745,35,6107
746,96,6109
747,123,6116
748,204,6157
749,46,6180
750,132,6269
751,12,6347
752,52,6364
753,126,6461
754,72,6526
755,208,6532
756,60,6564
757,70,6577
758,54,6600
759,13,6627
760,141,6628
761,28,6663
762,26,6767
763,66,6768
764,3,6815
765,42,6896
766,135,6904
767,108,6949
768,33,40861
769,65,40862
770,214,40863
771,34,40865
772,62,40866
773,9,40870
774,21,40887
775,91,40888
776,101,40891
777,48,40898
778,141,40900
779,13,40901
780,70,40907
781,4,40908
782,37,40910
783,204,40913
784,6,40914
785,61,40915
786,126,40916
787,127,40926
788,96,40927
789,82,40928
790,94,40931
791,12,40936
792,127,40943
793,155,40949
794,28,40958
795,207,40974
796,3,40975
797,7,40980
798,84,40986
799,67,40989
800,125,1794
801,97,2013
802,87,2110
803,46,2143
804,9,2321
805,71,2769
806,0,2954
807,101,3094
808,198,3178
809,26,3213
810,0,3227
811,104,3330
812,104,3491
813,158,3597
814,4,3652
815,40,3712
816,77,3802
817,110,3823
818,96,3959
819,65,3964
820,71,4043
821,51,4059
822,78,4121
823,95,4152
824,73,4314
825,106,4502
826,38,4572
827,125,4582
828,69,4588
829,135,4646
830,138,4672
831,138,4717
832,16,7678
833,137,7681
834,99,7703
835,70,7721
836,208,7722
837,87,7727
838,72,7736
839,35,7747
840,216,7756
841,180,7762
842,173,7764
843,78,7770
844,6,7776
845,138,7777
846,163,7783
847,45,7791
848,26,7793
849,140,7802
850,21,7808
851,158,7809
852,180,7827
853,123,7838
854,53,7843
855,67,7854
856,43,7860
857,62,7864
858,35,7867
859,107,7874
860,195,7887
861,158,7912
862,3,7914
863,96,7922
864,52,44589
865,29,44591
866,88,44593
867,127,44601
868,84,44611
869,68,44617
870,84,44623
871,123,44624
872,220,44626
873,91,44635
874,55,44636
875,143,44638
876,98,44640
877,16,44648
878,58,44650
879,51,44651
880,143,44657
881,8,44661
882,27,44665
883,212,44668
884,158,44674
885,217,44683
886,136,44685
887,180,44688
888,134,44690
889,34,44693
890,16,44695
891,208,44696
892,132,44698
893,63,44706
894,158,44711
895,81,44716
896,16,44930
897,34,44959
898,179,44975
899,92,44994
900,16,45012
901,81,45027
902,21,45034
903,60,45046
904,16,45057
905,136,45060
906,87,45083
907,140,45092
908,35,45098
909,114,45100
910,116,45107
911,58,45132
912,193,45146
913,193,45152
914,39,45193
915,141,45196
916,3,45213
917,139,45256
918,141,45272
919,34,45278
920,19,45363
921,207,45371
922,58,45380
923,198,45390
924,4,45407
925,109,45423
926,70,45428
927,48,45430
928,185,43930
929,135,43942
930,62,43969
931,179,44022
932,217,44051
933,204,44060
934,20,44068
935,207,44092
936,96,44093
937,3,44176
938,83,44178
939,163,44272
940,128,44285
941,100,44407
942,30,44524
943,167,44552
944,98,44629
945,173,44780
946,65,44804
947,92,44856
948,35,44858
949,209,44903
950,45,45014
951,123,45134
952,108,45141
953,207,45225
954,208,45339
955,179,45341
956,179,45379
957,44,45438
958,78,45514
959,44,45529
960,90,35386
961,72,35391
962,207,35394
963,44,35403
964,135,35419
965,185,35429
966,88,35433
967,71,35467
968,7,35469
969,59,35478
970,140,35481
971,213,35489
972,64,35492
973,81,35495
974,70,35499
975,13,35502
976,90,35505
977,138,35512
978,214,35519
979,28,35527
980,21,35529
981,118,35534
982,124,35536
983,211,35538
984,109,35540
985,207,35555
986,111,35565
987,134,35573
988,124,35574
989,64,35577
990,8,35585
991,86,35603
992,45,13892
993,220,13927
994,16,13928
995,104,13935
996,16,13952
997,124,13966
998,76,13968
999,70,14001
1000,20,14068
1001,65,14073
1002,42,14092
1003,96,14117
1004,94,14120
1005,120,14124
1006,4,14132
1007,84,14148
1008,11,14162
1009,34,14164
1010,193,14166
1011,100,14179
1012,173,14186
1013,133,14212
1014,77,14215
1015,77,14223
1016,70,14266
1017,139,14272
1018,62,14331
1019,76,14339
1020,56,14366
1021,107,14392
1022,138,14403
1023,101,14413
1024,63,42116
1025,17,42142
1026,34,42144
1027,31,42161
1028,108,42176
1029,52,42182
1030,130,42190
1031,16,42207
1032,41,42227
1033,209,42234
1034,23,42243
1035,12,42245
1036,73,42247
1037,94,42267
1038,16,42274
1039,127,42279
1040,140,42280
1041,54,42300
1042,71,42303
1043,99,42314
1044,8,42329
1045,109,42332
1046,137,42345
1047,45,42369
1048,26,42370
1049,127,42381
1050,113,42386
1051,0,42390
1052,112,42411
1053,109,42412
1054,34,42441
1055,127,42444
1056,123,12001
1057,136,12027
1058,11,12029
1059,204,12057
1060,8,12059
1061,140,12110
1062,4,12122
1063,139,12183
1064,193,12189
1065,167,12194
1066,137,12246
1067,173,12340
1068,70,12348
