,partition,vertex
0,49,1145
1,2,1161
2,100,1298
3,0,1359
4,112,1381
5,34,1405
6,34,1445
7,17,1461
8,8,1483
9,108,1543
10,12,1551
11,90,1554
12,119,1557
13,4,1560
14,125,1573
15,131,1587
16,204,1596
17,94,1622
18,35,1636
19,7,1668
20,79,1687
21,35,1748
22,123,1762
23,214,1791
24,13,1817
25,87,1849
26,137,1884
27,4,1899
28,130,1917
29,83,1933
30,217,1945
31,220,1948
32,113,50591
33,129,50612
34,181,50634
35,34,50643
36,35,50644
37,92,50703
38,83,50711
39,79,50738
40,24,50778
41,185,50785
42,198,50830
43,55,50855
44,98,50861
45,73,50972
46,28,50993
47,45,51009
48,118,51071
49,16,51091
50,207,51112
51,213,51194
52,130,51207
53,64,51209
54,53,51221
55,104,51225
56,140,51230
57,62,51265
58,4,51280
59,86,51289
60,22,51307
61,54,51314
62,99,51337
63,97,51378
64,173,37516
65,99,37523
66,19,37527
67,117,37531
68,61,37538
69,108,37541
70,20,37545
71,64,37549
72,35,37561
73,9,37568
74,4,37576
75,13,37578
76,118,37581
77,104,37593
78,98,37595
79,76,37600
80,127,37601
81,211,37622
82,86,37634
83,96,37639
84,98,37642
85,30,37659
86,158,37662
87,20,37663
88,24,37665
89,101,37672
90,179,37684
91,98,37686
92,51,37692
93,84,37698
94,120,37700
95,79,37713
96,84,51866
97,24,51868
98,91,51877
99,87,51880
100,220,51883
101,220,51884
102,137,51886
103,98,51889
104,60,51890
105,120,51893
106,92,51897
107,134,51898
108,212,51911
109,23,51912
110,42,51913
111,73,51917
112,4,51918
113,11,51922
114,79,51926
115,45,51930
116,29,51931
117,97,51932
118,41,51934
119,132,51936
120,75,51941
121,18,51942
122,70,51948
123,70,51949
124,41,51950
125,127,51951
126,35,51952
127,65,51953
128,78,40814
129,8,40815
130,98,40821
131,6,40828
132,63,40832
133,84,40846
134,91,40878
135,109,40879
136,6,40881
137,72,40882
138,111,40885
139,88,40892
140,90,40903
141,12,40906
142,0,40912
143,34,40918
144,19,40919
145,65,40932
146,107,40935
147,107,40937
148,179,40942
149,67,40945
150,83,40952
151,217,40955
152,132,40965
153,34,40971
154,68,40991
155,131,40999
156,127,41006
157,137,41011
158,45,41013
159,27,41015
160,19,47895
161,111,47896
162,173,47897
163,82,47899
164,20,47908
165,101,47914
166,57,47918
167,86,47920
168,75,47928
169,3,47943
170,95,47947
171,83,47956
172,23,47959
173,20,47974
174,108,47988
175,123,47991
176,6,47994
177,131,48012
178,103,48024
179,84,48025
180,195,48035
181,217,48044
182,0,48048
183,99,48051
184,140,48052
185,173,48057
186,96,48065
187,65,48070
188,4,48071
189,207,48088
190,90,48100
191,57,48101
192,35,18946
193,52,18947
194,130,18953
195,49,18954
196,101,18959
197,118,18973
198,185,18975
199,117,18983
200,61,18994
201,185,19000
202,133,19007
203,118,19010
204,138,19011
205,52,19023
206,111,19027
207,16,19036
208,213,19038
209,193,19044
210,98,19048
211,121,19066
212,127,19083
213,217,19098
214,79,19105
215,135,19106
216,127,19107
217,45,19110
218,62,19120
219,70,19122
220,94,19137
221,108,19138
222,204,19141
223,120,19170
224,64,29677
225,117,29687
226,107,29689
227,70,29690
228,98,29694
229,69,29700
230,99,29704
231,72,29707
232,139,29711
233,113,29724
234,43,29733
235,73,29736
236,173,29737
237,88,29738
238,88,29740
239,158,29741
240,110,29745
241,0,29747
242,117,29757
243,34,29773
244,79,29774
245,132,29784
246,155,29788
247,68,29791
248,13,29792
249,208,29799
250,217,29803
251,29,29807
252,108,29813
253,143,29815
254,127,29816
255,33,29822
256,101,49463
257,77,49465
258,113,49471
259,73,49477
260,23,49480
261,193,49483
262,42,49484
263,34,49487
264,20,49488
265,98,49489
266,97,49492
267,98,49493
268,21,49494
269,179,49495
270,104,49498
271,19,49499
272,131,49512
273,43,49514
274,72,49518
275,35,49520
276,127,49522
