,pagerank,vertex
0,1.751359378e-05,1145
1,1.435090144e-05,1161
2,1.434849855e-05,1298
3,1.663413241e-05,1359
4,1.667527249e-05,1381
5,1.538437209e-05,1405
6,1.551525565e-05,1445
7,1.78784976e-05,1461
8,1.629336839e-05,1483
9,1.670843812e-05,1543
10,1.997416075e-05,1551
11,2.181942e-05,1554
12,2.061449413e-05,1557
13,1.852838432e-05,1560
14,1.654562948e-05,1573
15,1.699540007e-05,1587
16,1.755580888e-05,1596
17,1.690301178e-05,1622
18,2.303151632e-05,1636
19,1.916886504e-05,1668
20,1.754850564e-05,1687
21,1.986421921e-05,1748
22,1.925930519e-05,1762
23,1.540367703e-05,1791
24,1.749201147e-05,1817
25,1.887088183e-05,1849
26,1.781022911e-05,1884
27,1.501500083e-05,1899
28,1.482725474e-05,1917
29,1.516689736e-05,1933
30,1.599647112e-05,1945
31,1.6344904e-05,1948
32,5.88405328e-06,51866
33,4.752637324e-06,51868
34,6.640150332e-06,51877
35,7.22674622e-06,51880
36,1.011152199e-05,51883
37,6.638441391e-06,51884
38,8.826066733e-06,51886
39,1.679770321e-05,51889
40,1.135805815e-05,51890
41,8.563671145e-06,51893
42,6.807415048e-06,51897
43,6.871294772e-06,51898
44,7.517997346e-06,51911
45,1.062066167e-05,51912
46,9.372265595e-06,51913
47,7.634032954e-06,51917
48,5.553283245e-06,51918
49,1.078745845e-05,51922
50,1.344743941e-05,51926
51,7.29108524e-06,51930
52,6.361223768e-06,51931
53,1.196508856e-05,51932
54,9.441682778e-06,51934
55,1.220652757e-05,51936
56,9.162506103e-06,51941
57,1.578122647e-05,51942
58,8.426535715e-06,51948
59,5.236211564e-06,51949
60,6.883334208e-06,51950
61,8.060274013e-06,51951
62,9.991083061e-06,51952
63,1.031801912e-05,51953
64,1.425489791e-05,23731
65,1.671708742e-05,23770
66,1.676715146e-05,23772
67,1.398145196e-05,23778
68,2.015211976e-05,23783
69,1.330124269e-05,23795
70,1.119917215e-05,23805
71,1.866177809e-05,23823
72,1.50737078e-05,23830
73,1.432316458e-05,23834
74,1.756076199e-05,23850
75,1.302324927e-05,23855
76,1.367802452e-05,23864
77,1.316875569e-05,23865
78,1.370507107e-05,23870
79,2.028714516e-05,23872
80,1.671575774e-05,23873
81,1.728702409e-05,23905
82,1.410041477e-05,23908
83,1.691709622e-05,23909
84,1.41636865e-05,23913
85,1.414765393e-05,23925
86,1.4727093e-05,23929
87,1.798548328e-05,23962
88,2.053416756e-05,23964
89,1.487960617e-05,23970
90,1.451236312e-05,23972
91,1.649353908e-05,23976
92,1.414002327e-05,23987
93,1.538342622e-05,23996
94,1.087053897e-05,24004
95,1.594192327e-05,24017
96,1.700891153e-05,18946
97,1.289881584e-05,18947
98,1.733673162e-05,18953
99,1.129449356e-05,18954
100,1.576020077e-05,18959
101,1.405829062e-05,18973
102,1.21774965e-05,18975
103,1.173400415e-05,18983
104,9.509196389e-06,18994
105,1.164652895e-05,19000
106,1.87046171e-05,19007
107,1.495331617e-05,19010
108,1.281747973e-05,19011
109,1.159869771e-05,19023
110,1.225006417e-05,19027
111,1.429224994e-05,19036
112,1.081202208e-05,19038
113,2.369961294e-05,19044
114,1.384738789e-05,19048
115,1.479682123e-05,19066
116,1.869472726e-05,19083
117,1.163933393e-05,19098
118,9.644981219e-06,19105
119,1.40881275e-05,19106
120,1.272222653e-05,19107
121,1.44620135e-05,19110
122,1.347617399e-05,19120
123,9.783570931e-06,19122
124,1.412560414e-05,19137
125,1.028334373e-05,19138
126,1.772448377e-05,19141
127,1.291330591e-05,19170
128,1.684480776e-05,52706
129,1.476538819e-05,52827
130,1.692563274e-05,53183
131,1.521093964e-05,53268
132,2.36748092e-05,53474
133,2.355277138e-05,53521
134,2.771279833e-05,53630
135,2.638355545e-05,53720
136,1.134233389e-05,53944
137,1.950016485e-05,53953
138,1.588705345e-05,54009
139,2.445094651e-05,54096
140,2.165149272e-05,54354
141,2.20285292e-05,54356
142,2.341651998e-05,54742
143,2.050394869e-05,54888
144,2.991192196e-05,54962
145,1.717788291e-05,55485
146,1.598766175e-05,55582
147,1.637164132e-05,55593
148,1.380810954e-05,55609
149,2.496925481e-05,55639
150,1.991774116e-05,56072
151,1.89418879e-05,56966
152,7.849168469e-06,69
153,1.003821308e-05,292
154,9.827360373e-06,360
155,1.071321913e-05,374
156,7.376287613e-06,507
157,7.990635822e-06,525
158,1.412714028e-05,614
159,8.983116459e-06,655
160,7.710940736e-06,50591
161,1.460574276e-05,50612
162,9.950034837e-06,50634
163,9.403217518e-06,50643
164,1.454355333e-05,50644
165,1.150636217e-05,50703
166,1.213571886e-05,50711
167,9.906811101e-06,50738
168,6.861552265e-06,50778
169,9.976860383e-06,50785
170,1.307952334e-05,50830
171,1.064864227e-05,50855
172,1.254067956e-05,50861
173,8.551282917e-06,50972
174,1.064336084e-05,50993
175,1.168596282e-05,51009
176,9.012537703e-06,51071
177,2.143357597e-05,51091
178,8.776235518e-06,51112
179,1.646315832e-05,51194
180,1.766405512e-05,51207
181,1.021709704e-05,51209
182,9.647883417e-06,51221
183,1.26791283e-05,51225
184,1.306054946e-05,51230
185,1.505633372e-05,51265
186,8.461405741e-06,51280
187,7.545135304e-06,51289
188,1.255858842e-05,51307
189,6.397692232e-06,51314
190,1.479922412e-05,51337
191,9.171815691e-06,51378
192,1.140525637e-05,54365
193,1.405655985e-05,54367
194,8.467412954e-06,54371
195,9.297910765e-06,54373
196,7.096303307e-06,54377
197,5.38004997e-06,54379
198,9.722227333e-06,54383
199,1.499701648e-05,54389
200,6.530615792e-06,54390
201,1.400566634e-05,54392
202,1.127210089e-05,54394
203,4.366428584e-06,54395
204,4.176298262e-06,54396
205,1.387308657e-05,54397
206,1.646930832e-05,54400
207,6.0806683e-06,54406
208,7.017657481e-06,54408
209,8.441114005e-06,54411
210,1.007284391e-05,54412
211,1.2795359e-05,54415
212,1.472011627e-05,54419
213,8.536227142e-06,54423
214,9.979036804e-06,54428
215,8.231698303e-06,54429
216,1.14188806e-05,54431
217,9.525082532e-06,54434
218,1.157165298e-05,54439
219,1.293663809e-05,54445
220,9.87268686e-06,54446
221,1.674693704e-05,54447
222,1.068942856e-05,54448
223,1.222493393e-05,54451
224,1.718913882e-05,20327
225,1.607255945e-05,20343
226,9.991745173e-06,20344
227,1.265355513e-05,20352
228,2.087128087e-05,20353
229,2.083173604e-05,20357
230,1.133578735e-05,20363
231,1.286055976e-05,20372
232,1.271800284e-05,20375
233,1.125969902e-05,20387
234,1.400611745e-05,20391
235,1.230817907e-05,20404
236,1.24832668e-05,20408
237,1.610421168e-05,20410
238,2.103686529e-05,20414
239,1.716566294e-05,20429
240,1.056419569e-05,20432
241,1.102866463e-05,20448
242,1.323335982e-05,20461
243,6.928792118e-06,20469
244,1.144549242e-05,20490
245,1.256616451e-05,20509
246,1.036072717e-05,20519
247,8.089035873e-06,20530
248,9.161331036e-06,20535
249,1.26629202e-05,20539
250,1.524279196e-05,20542
251,9.931909517e-06,20570
252,1.09927405e-05,20573
253,1.149116179e-05,20582
254,9.714424777e-06,20600
255,1.120038451e-05,20603
256,1.109227742e-05,52933
257,2.117185431e-05,52934
258,1.496730329e-05,52952
259,1.173207693e-05,52969
260,9.733909792e-06,52977
261,2.012419827e-05,53005
262,9.915784176e-06,53007
263,2.12416453e-05,53038
264,1.055298981e-05,53045
265,1.670328493e-05,53048
266,1.777153193e-05,53050
267,1.556783354e-05,53057
268,1.634726686e-05,53060
269,1.231978058e-05,53067
270,9.785775546e-06,53072
271,1.45218637e-05,53079
272,1.512072413e-05,53081
273,1.275496288e-05,53088
274,1.675061867e-05,53094
275,9.989773389e-06,53095
276,1.653026447e-05,53096
277,1.80541083e-05,53108
278,1.560027704e-05,53109
279,1.333702767e-05,53114
280,1.034362504e-05,53120
281,2.011521792e-05,53132
282,1.312286986e-05,53152
283,1.534370676e-05,53158
284,1.140016047e-05,53163
285,1.344857174e-05,53164
286,8.542879186e-06,53184
287,1.237672404e-05,53188
288,1.900564166e-05,37701
289,1.806636828e-05,37710
290,1.78603932e-05,37717
