,partition,vertex
0,49,1145
1,2,1161
2,100,1298
3,0,1359
4,112,1381
5,34,1405
6,34,1445
7,17,1461
8,8,1483
9,108,1543
10,12,1551
11,90,1554
12,119,1557
13,4,1560
14,125,1573
15,131,1587
16,204,1596
17,94,1622
18,35,1636
19,7,1668
20,79,1687
21,35,1748
22,123,1762
23,214,1791
24,13,1817
25,87,1849
26,137,1884
27,4,1899
28,130,1917
29,83,1933
30,217,1945
31,220,1948
32,84,51866
33,24,51868
34,91,51877
35,87,51880
36,220,51883
37,220,51884
38,137,51886
39,98,51889
40,60,51890
41,120,51893
42,92,51897
43,134,51898
44,212,51911
45,23,51912
46,42,51913
47,73,51917
48,4,51918
49,11,51922
50,79,51926
51,45,51930
52,29,51931
53,97,51932
54,41,51934
55,132,51936
56,75,51941
57,18,51942
58,70,51948
59,70,51949
60,41,51950
61,127,51951
62,35,51952
63,65,51953
64,35,18946
65,52,18947
66,130,18953
67,49,18954
68,101,18959
69,118,18973
70,185,18975
71,117,18983
72,61,18994
73,185,19000
74,133,19007
75,118,19010
76,138,19011
77,52,19023
78,111,19027
79,16,19036
80,213,19038
81,193,19044
82,98,19048
83,121,19066
84,127,19083
85,217,19098
86,79,19105
87,135,19106
88,127,19107
89,45,19110
90,62,19120
91,70,19122
92,94,19137
93,108,19138
94,204,19141
95,120,19170
96,204,52706
97,119,52827
98,86,53183
99,45,53268
100,163,53474
101,133,53521
102,107,53630
103,193,53720
104,52,53944
105,4,53953
106,38,54009
107,139,54096
108,30,54354
109,155,54356
110,119,54742
111,92,54888
112,134,54962
113,57,55485
114,163,55582
115,31,55593
116,193,55609
117,79,55639
118,17,56072
119,195,56966
120,13,69
121,35,292
122,69,360
123,14,374
124,55,507
125,35,525
126,94,614
127,80,655
128,57,51670
129,181,51672
130,131,51673
131,91,51675
132,123,51676
133,180,51677
134,131,51680
135,77,51683
136,73,51687
137,99,51691
138,58,51692
139,216,51695
140,71,51697
141,65,51702
142,33,51703
143,193,51704
144,204,51713
145,53,51714
146,108,51716
147,62,51719
148,92,51722
149,40,51724
150,64,51725
151,198,51733
152,70,51735
153,30,51739
154,36,51740
155,58,51746
156,65,51747
157,84,51753
158,217,51757
159,3,51760
160,173,37516
161,99,37523
162,19,37527
163,117,37531
164,61,37538
165,108,37541
166,20,37545
167,64,37549
168,35,37561
169,9,37568
170,4,37576
171,13,37578
172,118,37581
173,104,37593
174,98,37595
175,76,37600
176,127,37601
177,211,37622
178,86,37634
179,96,37639
180,98,37642
181,30,37659
182,158,37662
183,20,37663
184,24,37665
185,101,37672
186,179,37684
187,98,37686
188,51,37692
189,84,37698
190,120,37700
191,79,37713
192,71,23731
193,133,23770
194,44,23772
195,34,23778
196,173,23783
197,118,23795
198,72,23805
199,62,23823
200,212,23830
201,67,23834
202,70,23850
203,123,23855
204,109,23864
205,167,23865
206,66,23870
207,106,23872
208,111,23873
209,23,23905
210,107,23908
211,76,23909
212,208,23913
213,17,23925
214,109,23929
215,209,23962
216,107,23964
217,69,23970
218,220,23972
219,31,23976
220,12,23987
221,11,23996
222,69,24004
223,30,24017
224,85,37701
225,91,37710
226,93,37717
227,27,37724
228,163,37740
229,139,37762
230,118,37766
231,16,37774
232,63,37776
233,212,37791
234,3,37793
235,173,37798
236,3,37811
237,4,37819
238,92,37820
239,58,37849
240,46,37862
241,90,37863
242,94,37866
243,9,37869
244,204,37870
245,133,37871
246,28,37874
247,55,37885
248,32,37906
249,111,37909
250,84,37912
251,140,37918
252,8,37922
253,91,37925
254,91,37927
255,70,37928
256,113,50591
257,129,50612
258,181,50634
259,34,50643
260,35,50644
261,92,50703
262,83,50711
263,79,50738
264,24,50778
265,185,50785
266,198,50830
267,55,50855
268,98,50861
269,73,50972
270,28,50993
271,45,51009
272,118,51071
273,16,51091
274,207,51112
275,213,51194
276,130,51207
277,64,51209
