,pagerank,vertex
0,9.651376786e-06,37516
1,2.125542233e-05,37523
2,8.727259228e-06,37527
3,1.360570786e-05,37531
4,1.582180812e-05,37538
5,2.381381273e-05,37541
6,1.457366125e-05,37545
7,2.037538252e-05,37549
8,1.912740663e-05,37561
9,1.15102539e-05,37568
10,2.454162677e-05,37576
11,1.117030115e-05,37578
12,8.999279999e-06,37581
13,1.428151427e-05,37593
14,1.689526107e-05,37595
15,3.481720341e-05,37600
16,1.883505684e-05,37601
17,9.692894309e-06,37622
18,2.11436909e-05,37634
19,1.046622492e-05,37639
20,1.394110313e-05,37642
21,1.369060737e-05,37659
22,1.056242854e-05,37662
23,2.175834561e-05,37663
24,1.848362263e-05,37665
25,3.761870539e-05,37672
26,1.827919914e-05,37684
27,1.270144094e-05,37686
28,1.265206538e-05,37692
29,6.812071661e-06,37698
30,8.435335985e-06,37700
31,2.072735879e-05,37713
32,1.419106593e-05,1145
33,1.37946854e-05,1161
34,1.29450309e-05,1298
35,1.14073182e-05,1359
36,2.075780321e-05,1381
37,1.060879549e-05,1405
38,1.217416047e-05,1445
39,1.436609091e-05,1461
40,1.548940418e-05,1483
41,2.260464134e-05,1543
42,2.489355575e-05,1551
43,1.48167328e-05,1554
44,2.893638703e-05,1557
45,2.241977381e-05,1560
46,9.782243978e-06,1573
47,1.766935566e-05,1587
48,1.862129648e-05,1596
49,1.867807805e-05,1622
50,2.522422801e-05,1636
51,1.574726957e-05,1668
52,1.07626347e-05,1687
53,1.809605419e-05,1748
54,1.746926137e-05,1762
55,1.435692593e-05,1791
56,1.212347343e-05,1817
57,2.318187217e-05,1849
58,1.226643872e-05,1884
59,1.341941061e-05,1899
60,1.153810535e-05,1917
61,1.321512173e-05,1933
62,2.379619582e-05,1945
63,1.371500366e-05,1948
64,9.481146662e-06,30624
65,1.081797927e-05,30629
66,3.473200195e-06,30630
67,4.19462549e-06,30632
68,1.907005026e-05,30634
69,1.679223715e-05,30636
70,1.664285628e-05,30641
71,8.712318959e-06,30642
72,1.670663551e-05,30645
73,2.911062074e-05,30648
74,9.416216017e-06,30651
75,1.538587458e-05,30654
76,2.274472172e-05,30656
77,1.441284439e-05,30659
78,5.522240826e-06,30660
79,1.027744202e-05,30661
80,8.361900655e-06,30662
81,8.510623047e-06,30663
82,1.222358242e-05,30666
83,1.333070941e-05,30667
84,1.118580258e-05,30669
85,1.125760082e-05,30670
86,1.523310948e-05,30673
87,5.162744401e-06,30679
88,7.306988209e-06,30681
89,5.557848453e-06,30682
90,1.22725678e-05,30685
91,8.543137483e-06,30697
92,9.295565178e-06,30708
93,5.69025633e-06,30710
94,6.938286788e-06,30715
95,1.038540267e-05,30716
96,1.017769955e-05,56142
97,1.512791187e-05,56152
98,1.320091724e-05,56153
99,4.717165666e-06,56154
100,5.678820798e-06,56156
101,6.596488674e-06,56157
102,8.289674042e-06,56158
103,4.032860033e-06,56159
104,6.123337243e-06,56161
105,2.747179906e-06,56163
106,1.026604241e-05,56165
107,5.742298526e-06,56172
108,6.699059213e-06,56173
109,1.521720424e-05,56174
110,3.608064844e-06,56176
111,6.80328958e-06,56177
112,7.291482689e-06,56178
113,6.047359875e-06,56180
114,1.470929965e-05,56184
115,1.110281573e-05,56185
116,7.110837487e-06,56186
117,2.793374506e-06,56189
118,2.477435919e-05,56191
119,3.655774208e-06,56193
120,3.617383982e-06,56195
121,3.628595778e-06,56196
122,1.057108511e-05,56198
123,1.187438465e-05,56200
124,1.576982868e-05,56201
125,1.958666871e-05,56203
126,1.27713547e-05,56207
127,5.152125141e-06,56208
128,1.063960644e-05,50591
129,2.099931953e-05,50612
130,7.121621366e-06,50634
131,1.19269589e-05,50643
132,1.950903243e-05,50644
133,1.339039864e-05,50703
134,1.511497794e-05,50711
135,1.098843859e-05,50738
136,9.809320545e-06,50778
137,1.126371353e-05,50785
138,1.523026822e-05,50830
139,7.160942914e-06,50855
140,1.98865182e-05,50861
141,1.673227052e-05,50972
142,1.536840682e-05,50993
143,1.290371438e-05,51009
144,1.601701661e-05,51071
145,2.495589433e-05,51091
