,partition,vertex
0,173,37516
1,99,37523
2,19,37527
3,117,37531
4,61,37538
5,108,37541
6,20,37545
7,64,37549
8,35,37561
9,9,37568
10,4,37576
11,13,37578
12,118,37581
13,104,37593
14,98,37595
15,76,37600
16,127,37601
17,211,37622
18,86,37634
19,96,37639
20,98,37642
21,30,37659
22,158,37662
23,20,37663
24,24,37665
25,101,37672
26,179,37684
27,98,37686
28,51,37692
29,84,37698
30,120,37700
31,79,37713
32,69,42627
33,19,42637
34,73,42643
35,91,42654
36,72,42659
37,133,42663
38,3,42667
39,42,42672
40,13,42673
41,127,42676
42,97,42678
43,28,42680
44,53,42688
45,193,42696
46,45,42698
47,13,42703
48,31,42711
49,207,42714
50,204,42723
51,58,42730
52,185,42731
53,138,42733
54,73,42739
55,55,42745
56,217,42751
57,179,42759
58,72,42762
59,33,42768
60,213,42772
61,1,42773
62,77,42775
63,62,42776
64,49,1145
65,2,1161
66,100,1298
67,0,1359
68,112,1381
69,34,1405
70,34,1445
71,17,1461
72,8,1483
73,108,1543
74,12,1551
75,90,1554
76,119,1557
77,4,1560
78,125,1573
79,131,1587
80,204,1596
81,94,1622
82,35,1636
83,7,1668
84,79,1687
85,35,1748
86,123,1762
87,214,1791
88,13,1817
89,87,1849
90,137,1884
91,4,1899
92,130,1917
93,83,1933
94,217,1945
95,220,1948
96,84,51866
97,24,51868
98,91,51877
99,87,51880
100,220,51883
101,220,51884
102,137,51886
103,98,51889
104,60,51890
105,120,51893
106,92,51897
107,134,51898
108,212,51911
109,23,51912
110,42,51913
111,73,51917
112,4,51918
113,11,51922
114,79,51926
115,45,51930
116,29,51931
117,97,51932
118,41,51934
119,132,51936
120,75,51941
121,18,51942
122,70,51948
123,70,51949
124,41,51950
125,127,51951
126,35,51952
127,65,51953
128,113,50591
129,129,50612
130,181,50634
131,34,50643
132,35,50644
133,92,50703
134,83,50711
135,79,50738
136,24,50778
137,185,50785
138,198,50830
139,55,50855
140,98,50861
141,73,50972
142,28,50993
143,45,51009
144,118,51071
145,16,51091
146,207,51112
147,213,51194
148,130,51207
149,64,51209
150,53,51221
151,104,51225
152,140,51230
153,62,51265
154,4,51280
155,86,51289
156,22,51307
157,54,51314
158,99,51337
159,97,51378
160,101,49463
161,77,49465
162,113,49471
163,73,49477
164,23,49480
165,193,49483
166,42,49484
167,34,49487
168,20,49488
169,98,49489
170,97,49492
171,98,49493
172,21,49494
173,179,49495
174,104,49498
175,19,49499
176,131,49512
177,43,49514
178,72,49518
179,35,49520
180,127,49522
181,35,49525
182,11,49528
183,216,49529
184,173,49530
185,35,49531
186,115,49532
187,35,49533
188,204,49538
189,209,49541
190,79,49545
191,198,49548
192,133,30624
193,180,30629
194,81,30630
195,58,30632
196,107,30634
197,109,30636
198,7,30641
199,92,30642
200,127,30645
201,0,30648
202,127,30651
203,180,30654
204,104,30656
205,211,30659
206,17,30660
207,17,30661
208,101,30662
209,119,30663
210,81,30666
211,11,30667
212,22,30669
213,82,30670
214,35,30673
215,112,30679
216,31,30681
217,34,30682
218,138,30685
219,217,30697
220,46,30708
221,78,30710
222,21,30715
223,139,30716
224,35,18946
225,52,18947
226,130,18953
227,49,18954
228,101,18959
229,118,18973
230,185,18975
231,117,18983
232,61,18994
233,185,19000
234,133,19007
235,118,19010
